Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:49.504,
2,0,Damon HillHIL,Williams Renault,1:51.802,+2.298s
3,8,Ayrton SennaSEN,McLaren Ford,1:52.748,+3.244s
4,5,Michael SchumacherMSC,Benetton Ford,1:52.931,+3.427s
5,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:53.644,+4.140s
6,27,Jean AlesiALE,Ferrari,1:53.758,+4.254s
7,9,Derek WarwickWAR,Footwork Mugen Honda,1:54.692,+5.188s
8,26,Mark BlundellBLU,Ligier Renault,1:54.754,+5.250s
9,14,Rubens BarrichelloBAR,Jordan Hart,1:54.896,+5.392s
10,28,Gerhard BergerBER,Ferrari,1:54.976,+5.472s
11,25,Martin BrundleBRU,Ligier Renault,1:54.980,+5.476s
12,7,Michael AndrettiAND,McLaren Ford,1:55.056,+5.552s
13,6,Riccardo PatresePAT,Benetton Ford,1:55.257,+5.753s
14,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:55.334,+5.830s
15,12,Johnny HerbertHER,Lotus Ford,1:55.437,+5.933s
16,30,Jyrki JarvilehtoJAR,Sauber,1:55.539,+6.035s
17,29,Karl WendlingerWEN,Sauber,1:55.584,+6.080s
18,24,Pierluigi MartiniMAR,Minardi Ford,1:56.004,+6.500s
19,19,Philippe AlliotALL,Larrousse Lamborghini,1:56.963,+7.459s
20,15,Thierry BoutsenBOU,Jordan Hart,1:57.381,+7.877s
21,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:57.726,+8.222s
22,20,Erik ComasCOM,Larrousse Lamborghini,1:57.859,+8.355s
23,23,Christian FittipaldiFIT,Minardi Ford,1:57.979,+8.475s
24,22,Luca BadoerBAD,Lola Ferrari,1:58.272,+8.768s
25,21,Michele AlboretoALB,Lola Ferrari,1:58.577,+9.073s
26,11,Alessandro ZanardiZAN,Lotus Ford,2:05.188,+15.684s
