Pos,No,Driver,Car,Time,Gap
1,0,Damon HillHIL,Williams Renault,1:16.266,
2,8,Ayrton SennaSEN,McLaren Ford,1:16.351,+0.085s
3,26,Mark BlundellBLU,Ligier Renault,1:16.903,+0.637s
4,25,Martin BrundleBRU,Ligier Renault,1:17.608,+1.342s
5,5,Michael SchumacherMSC,Benetton Ford,1:17.823,+1.557s
6,29,Karl WendlingerWEN,Sauber,1:17.839,+1.573s
7,20,Erik ComasCOM,Larrousse Lamborghini,1:17.915,+1.649s
8,15,Thierry BoutsenBOU,Jordan Hart,1:18.013,+1.747s
9,27,Jean AlesiALE,Ferrari,1:18.019,+1.753s
10,6,Riccardo PatresePAT,Benetton Ford,1:18.046,+1.780s
11,19,Philippe AlliotALL,Larrousse Lamborghini,1:18.143,+1.877s
12,14,Rubens BarrichelloBAR,Jordan Hart,1:18.225,+1.959s
13,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:18.365,+2.099s
14,30,Jyrki JarvilehtoJAR,Sauber,1:18.808,+2.542s
15,12,Johnny HerbertHER,Lotus Ford,1:18.893,+2.627s
16,28,Gerhard BergerBER,Ferrari,1:19.318,+3.052s
17,24,Fabrizio BarbazzaBAR,Minardi Ford,1:19.487,+3.221s
18,7,Michael AndrettiAND,McLaren Ford,1:19.514,+3.248s
19,23,Christian FittipaldiFIT,Minardi Ford,1:19.569,+3.303s
20,11,Alessandro ZanardiZAN,Lotus Ford,1:19.945,+3.679s
21,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:20.223,+3.957s
22,21,Michele AlboretoALB,Lola Ferrari,1:21.098,+4.832s
23,22,Luca BadoerBAD,Lola Ferrari,1:21.404,+5.138s
24,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:21.508,+5.242s
25,2,Alain ProstPRO,Williams Renault,1:28.672,+12.406s
26,9,Derek WarwickWAR,Footwork Mugen Honda,5:03.394,+227.128s
