Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:13.040,
2,7,Mika HakkinenHAK,McLaren Ford,1:13.857,+0.817s
3,8,Ayrton SennaSEN,McLaren Ford,1:13.868,+0.828s
4,0,Damon HillHIL,Williams Renault,1:14.175,+1.135s
5,5,Michael SchumacherMSC,Benetton Ford,1:14.741,+1.701s
6,6,Riccardo PatresePAT,Benetton Ford,1:15.154,+2.114s
7,26,Mark BlundellBLU,Ligier Renault,1:15.289,+2.249s
8,28,Gerhard BergerBER,Ferrari,1:15.427,+2.387s
9,9,Derek WarwickWAR,Footwork Mugen Honda,1:15.836,+2.796s
10,25,Martin BrundleBRU,Ligier Renault,1:15.980,+2.940s
11,14,Rubens BarrichelloBAR,Jordan Hart,1:16.092,+3.052s
12,30,Jyrki JarvilehtoJAR,Sauber,1:16.292,+3.252s
13,24,Pierluigi MartiniMAR,Minardi Ford,1:16.294,+3.254s
14,29,Karl WendlingerWEN,Sauber,1:16.513,+3.473s
15,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:16.977,+3.937s
16,27,Jean AlesiALE,Ferrari,1:17.088,+4.048s
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:17.223,+4.183s
18,12,Johnny HerbertHER,Lotus Ford,1:17.261,+4.221s
19,23,Christian FittipaldiFIT,Minardi Ford,1:17.440,+4.400s
20,20,Erik ComasCOM,Larrousse Lamborghini,1:17.467,+4.427s
21,15,Emanuele NaspettiNAS,Jordan Hart,1:17.720,+4.680s
22,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:17.814,+4.774s
23,11,Pedro LamyLAM,Lotus Ford,1:17.871,+4.831s
24,19,Philippe AlliotALL,Larrousse Lamborghini,1:17.894,+4.854s
25,21,Michele AlboretoALB,Lola Ferrari,1:18.596,+5.556s
26,22,Luca BadoerBAD,Lola Ferrari,1:19.051,+6.011s
