Pos,No,Driver,Car,Time,Gap
1,0,Damon HillHIL,Williams Renault,1:25.714,
2,5,Michael SchumacherMSC,Benetton Ford,1:26.229,+0.515s
3,27,Jean AlesiALE,Ferrari,1:26.473,+0.759s
4,8,Ayrton SennaSEN,McLaren Ford,1:26.790,+1.076s
5,28,Gerhard BergerBER,Ferrari,1:26.961,+1.247s
6,2,Alain ProstPRO,Williams Renault,1:27.341,+1.627s
7,25,Martin BrundleBRU,Ligier Renault,1:27.749,+2.035s
8,30,Jyrki JarvilehtoJAR,Sauber,1:27.891,+2.177s
9,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:27.921,+2.207s
10,26,Mark BlundellBLU,Ligier Renault,1:28.258,+2.544s
11,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:28.517,+2.803s
12,20,Erik ComasCOM,Larrousse Lamborghini,1:28.609,+2.895s
13,6,Riccardo PatresePAT,Benetton Ford,1:28.816,+3.102s
14,7,Michael AndrettiAND,McLaren Ford,1:28.884,+3.170s
15,11,Pedro LamyLAM,Lotus Ford,1:29.040,+3.326s
16,9,Derek WarwickWAR,Footwork Mugen Honda,1:29.173,+3.459s
17,12,Johnny HerbertHER,Lotus Ford,1:29.185,+3.471s
18,24,Pierluigi MartiniMAR,Minardi Ford,1:29.200,+3.486s
19,15,Marco ApicellaAPI,Jordan Hart,1:29.437,+3.723s
20,23,Christian FittipaldiFIT,Minardi Ford,1:29.792,+4.078s
21,21,Michele AlboretoALB,Lola Ferrari,1:30.014,+4.300s
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:30.452,+4.738s
23,14,Rubens BarrichelloBAR,Jordan Hart,1:31.140,+5.426s
24,19,Philippe AlliotALL,Larrousse Lamborghini,1:31.235,+5.521s
25,29,Karl WendlingerWEN,Sauber,1:34.277,+8.563s
26,22,Luca BadoerBAD,Lola Ferrari,1:35.199,+9.485s
