Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:39.581,
2,0,Damon HillHIL,Williams Renault,1:40.171,+0.590s
3,26,Mark BlundellBLU,Ligier Renault,1:40.226,+0.645s
4,5,Michael SchumacherMSC,Benetton Ford,1:40.756,+1.175s
5,25,Martin BrundleBRU,Ligier Renault,1:41.109,+1.528s
6,6,Riccardo PatresePAT,Benetton Ford,1:41.315,+1.734s
7,28,Gerhard BergerBER,Ferrari,1:41.501,+1.920s
8,20,Erik ComasCOM,Larrousse Lamborghini,1:41.554,+1.973s
9,27,Jean AlesiALE,Ferrari,1:41.641,+2.060s
10,24,Pierluigi MartiniMAR,Minardi Ford,1:41.677,+2.096s
11,12,Johnny HerbertHER,Lotus Ford,1:41.974,+2.393s
12,29,Karl WendlingerWEN,Sauber,1:42.075,+2.494s
13,14,Rubens BarrichelloBAR,Jordan Hart,1:42.204,+2.623s
14,7,Michael AndrettiAND,McLaren Ford,1:42.440,+2.859s
15,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:42.520,+2.939s
16,8,Ayrton SennaSEN,McLaren Ford,1:42.777,+3.196s
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:43.023,+3.442s
18,23,Christian FittipaldiFIT,Minardi Ford,1:43.082,+3.501s
19,11,Alessandro ZanardiZAN,Lotus Ford,1:43.170,+3.589s
20,19,Philippe AlliotALL,Larrousse Lamborghini,1:43.255,+3.674s
21,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:43.747,+4.166s
22,9,Derek WarwickWAR,Footwork Mugen Honda,1:43.843,+4.262s
23,15,Thierry BoutsenBOU,Jordan Hart,1:44.434,+4.853s
24,22,Luca BadoerBAD,Lola Ferrari,1:44.456,+4.875s
25,21,Michele AlboretoALB,Lola Ferrari,1:46.170,+6.589s
26,30,Jyrki JarvilehtoJAR,Sauber,1:48.837,+9.256s
