Pos,No,Driver,Car,Time,Gap
1,8,Ayrton SennaSEN,McLaren Ford,1:18.133,
2,2,Alain ProstPRO,Williams Renault,1:18.453,+0.320s
3,5,Michael SchumacherMSC,Benetton Ford,1:18.611,+0.478s
4,0,Damon HillHIL,Williams Renault,1:18.932,+0.799s
5,7,Michael AndrettiAND,McLaren Ford,1:19.484,+1.351s
6,12,Johnny HerbertHER,Lotus Ford,1:20.235,+2.102s
7,20,Erik ComasCOM,Larrousse Lamborghini,1:20.655,+2.522s
8,25,Martin BrundleBRU,Ligier Renault,1:20.665,+2.532s
9,19,Philippe AlliotALL,Larrousse Lamborghini,1:20.820,+2.687s
10,29,Karl WendlingerWEN,Sauber,1:20.880,+2.747s
11,6,Riccardo PatresePAT,Benetton Ford,1:21.010,+2.877s
12,26,Mark BlundellBLU,Ligier Renault,1:21.014,+2.881s
13,30,Jyrki JarvilehtoJAR,Sauber,1:21.294,+3.161s
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:21.417,+3.284s
15,27,Jean AlesiALE,Ferrari,1:21.447,+3.314s
16,15,Ivan CapelliCAP,Jordan Hart,1:21.566,+3.433s
17,14,Rubens BarrichelloBAR,Jordan Hart,1:22.087,+3.954s
18,24,Fabrizio BarbazzaBAR,Minardi Ford,1:22.103,+3.970s
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:22.167,+4.034s
20,11,Alessandro ZanardiZAN,Lotus Ford,1:22.417,+4.284s
21,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:22.922,+4.789s
22,9,Derek WarwickWAR,Footwork Mugen Honda,1:24.006,+5.873s
23,21,Michele AlboretoALB,Lola Ferrari,1:24.742,+6.609s
24,28,Gerhard BergerBER,Ferrari,1:25.305,+7.172s
25,22,Luca BadoerBAD,Lola Ferrari,1:27.325,+9.192s
26,23,Christian FittipaldiFIT,Minardi Ford,1:34.080,+15.947s
