Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:16.204,
2,5,Michael SchumacherMSC,Benetton Ford,1:17.260,+1.056s
3,6,Riccardo PatresePAT,Benetton Ford,1:17.667,+1.463s
4,0,Damon HillHIL,Williams Renault,1:17.687,+1.483s
5,8,Ayrton SennaSEN,McLaren Ford,1:18.203,+1.999s
6,29,Karl WendlingerWEN,Sauber,1:19.054,+2.850s
7,26,Mark BlundellBLU,Ligier Renault,1:19.313,+3.109s
8,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:19.501,+3.297s
9,24,Pierluigi MartiniMAR,Minardi Ford,1:19.956,+3.752s
10,28,Gerhard BergerBER,Ferrari,1:19.985,+3.781s
11,25,Martin BrundleBRU,Ligier Renault,1:20.208,+4.004s
12,7,Michael AndrettiAND,McLaren Ford,1:20.249,+4.045s
13,23,Christian FittipaldiFIT,Minardi Ford,1:20.409,+4.205s
14,14,Rubens BarrichelloBAR,Jordan Hart,1:20.910,+4.706s
15,27,Jean AlesiALE,Ferrari,1:20.995,+4.791s
16,9,Derek WarwickWAR,Footwork Mugen Honda,1:21.260,+5.056s
17,11,Alessandro ZanardiZAN,Lotus Ford,1:21.366,+5.162s
18,30,Jyrki JarvilehtoJAR,Sauber,1:21.422,+5.218s
19,15,Thierry BoutsenBOU,Jordan Hart,1:21.890,+5.686s
20,19,Philippe AlliotALL,Larrousse Lamborghini,1:22.017,+5.813s
21,20,Erik ComasCOM,Larrousse Lamborghini,1:22.294,+6.090s
22,21,Michele AlboretoALB,Lola Ferrari,1:22.355,+6.151s
23,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:22.563,+6.359s
24,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:22.795,+6.591s
25,12,Johnny HerbertHER,Lotus Ford,1:25.389,+9.185s
26,22,Luca BadoerBAD,Lola Ferrari,1:26.601,+10.397s
