Pos,No,Driver,Car,Time,Gap
1,0,Damon HillHIL,Williams Renault,1:39.737,
2,7,Mika HakkinenHAK,McLaren Ford,1:40.003,+0.266s
3,27,Jean AlesiALE,Ferrari,1:40.728,+0.991s
4,5,Michael SchumacherMSC,Benetton Ford,1:41.013,+1.276s
5,15,Eddie IrvineIRV,Jordan Hart,1:41.917,+2.180s
6,28,Gerhard BergerBER,Ferrari,1:41.931,+2.194s
7,9,Derek WarwickWAR,Footwork Mugen Honda,1:42.006,+2.269s
8,12,Johnny HerbertHER,Lotus Ford,1:42.193,+2.456s
9,25,Martin BrundleBRU,Ligier Renault,1:42.341,+2.604s
10,30,Jyrki JarvilehtoJAR,Sauber,1:42.416,+2.679s
11,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:42.473,+2.736s
12,14,Rubens BarrichelloBAR,Jordan Hart,1:42.789,+3.052s
13,8,Ayrton SennaSEN,McLaren Ford,1:42.858,+3.121s
14,26,Mark BlundellBLU,Ligier Renault,1:42.914,+3.177s
15,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:43.804,+4.067s
16,6,Riccardo PatresePAT,Benetton Ford,1:44.339,+4.602s
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:44.922,+5.185s
18,24,Pierluigi MartiniMAR,Minardi Ford,1:45.212,+5.475s
19,11,Pedro LamyLAM,Lotus Ford,1:46.366,+6.629s
20,20,Erik ComasCOM,Larrousse Lamborghini,1:47.514,+7.777s
21,19,Toshio  SuzukiSUZ,Larrousse Lamborghini,1:47.598,+7.861s
22,23,Jean-Marc GounonGOU,Minardi Ford,1:49.085,+9.348s
23,29,Karl WendlingerWEN,Sauber,1:50.079,+10.342s
24,2,Alain ProstPRO,Williams Renault,2:17.882,+38.145s
