Pos,No,Driver,Car,Time,Gap
1,0,Damon HillHIL,Williams Renault,1:23.604,
2,5,Michael SchumacherMSC,Benetton Ford,1:24.725,+1.121s
3,8,Ayrton SennaSEN,McLaren Ford,1:25.251,+1.647s
4,29,Karl WendlingerWEN,Sauber,1:25.603,+1.999s
5,28,Gerhard BergerBER,Ferrari,1:25.665,+2.061s
6,26,Mark BlundellBLU,Ligier Renault,1:25.948,+2.344s
7,6,Riccardo PatresePAT,Benetton Ford,1:25.981,+2.377s
8,12,Johnny HerbertHER,Lotus Ford,1:26.298,+2.694s
9,27,Jean AlesiALE,Ferrari,1:26.335,+2.731s
10,30,Jyrki JarvilehtoJAR,Sauber,1:26.384,+2.780s
11,9,Derek WarwickWAR,Footwork Mugen Honda,1:26.578,+2.974s
12,19,Philippe AlliotALL,Larrousse Lamborghini,1:26.595,+2.991s
13,20,Erik ComasCOM,Larrousse Lamborghini,1:26.953,+3.349s
14,24,Fabrizio BarbazzaBAR,Minardi Ford,1:27.000,+3.396s
15,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:27.074,+3.470s
16,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:27.203,+3.599s
17,22,Luca BadoerBAD,Lola Ferrari,1:27.204,+3.600s
18,23,Christian FittipaldiFIT,Minardi Ford,1:27.259,+3.655s
19,7,Michael AndrettiAND,McLaren Ford,1:27.283,+3.679s
20,15,Thierry BoutsenBOU,Jordan Hart,1:27.312,+3.708s
21,14,Rubens BarrichelloBAR,Jordan Hart,1:27.328,+3.724s
22,25,Martin BrundleBRU,Ligier Renault,1:27.339,+3.735s
23,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:27.418,+3.814s
24,11,Alessandro ZanardiZAN,Lotus Ford,1:27.442,+3.838s
25,21,Michele AlboretoALB,Lola Ferrari,1:28.640,+5.036s
26,2,Alain ProstPRO,Williams Renault,7:11.005,+347.401s
