Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:19.747,
2,0,Damon HillHIL,Williams Renault,1:20.349,+0.602s
3,27,Jean AlesiALE,Ferrari,1:21.809,+2.062s
4,5,Michael SchumacherMSC,Benetton Ford,1:21.862,+2.115s
5,6,Riccardo PatresePAT,Benetton Ford,1:22.018,+2.271s
6,8,Ayrton SennaSEN,McLaren Ford,1:22.221,+2.474s
7,29,Karl WendlingerWEN,Sauber,1:22.744,+2.997s
8,25,Martin BrundleBRU,Ligier Renault,1:22.861,+3.114s
9,23,Christian FittipaldiFIT,Minardi Ford,1:23.372,+3.625s
10,7,Michael AndrettiAND,McLaren Ford,1:23.555,+3.808s
11,19,Philippe AlliotALL,Larrousse Lamborghini,1:23.675,+3.928s
12,28,Gerhard BergerBER,Ferrari,1:23.863,+4.116s
13,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:23.974,+4.227s
14,20,Erik ComasCOM,Larrousse Lamborghini,1:24.083,+4.336s
15,12,Johnny HerbertHER,Lotus Ford,1:24.127,+4.380s
16,30,Jyrki JarvilehtoJAR,Sauber,1:24.162,+4.415s
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:24.193,+4.446s
18,11,Alessandro ZanardiZAN,Lotus Ford,1:24.372,+4.625s
19,24,Fabrizio BarbazzaBAR,Minardi Ford,1:24.648,+4.901s
20,21,Michele AlboretoALB,Lola Ferrari,1:24.726,+4.979s
21,26,Mark BlundellBLU,Ligier Renault,1:24.739,+4.992s
22,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:24.767,+5.020s
23,9,Derek WarwickWAR,Footwork Mugen Honda,1:25.027,+5.280s
24,14,Rubens BarrichelloBAR,Jordan Hart,1:25.039,+5.292s
25,15,Thierry BoutsenBOU,Jordan Hart,1:25.500,+5.753s
26,22,Luca BadoerBAD,Lola Ferrari,1:25.785,+6.038s
