Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:18.402,
2,0,Damon HillHIL,Williams Renault,1:18.691,+0.289s
3,29,Karl WendlingerWEN,Sauber,1:19.833,+1.431s
4,20,Erik ComasCOM,Larrousse Lamborghini,1:19.912,+1.510s
5,8,Ayrton SennaSEN,McLaren Ford,1:19.938,+1.536s
6,12,Johnny HerbertHER,Lotus Ford,1:20.087,+1.685s
7,5,Michael SchumacherMSC,Benetton Ford,1:20.167,+1.765s
8,19,Philippe AlliotALL,Larrousse Lamborghini,1:20.320,+1.918s
9,30,Jyrki JarvilehtoJAR,Sauber,1:20.489,+2.087s
10,27,Jean AlesiALE,Ferrari,1:20.731,+2.329s
11,6,Riccardo PatresePAT,Benetton Ford,1:20.758,+2.356s
12,7,Michael AndrettiAND,McLaren Ford,1:20.764,+2.362s
13,25,Martin BrundleBRU,Ligier Renault,1:21.206,+2.804s
14,28,Gerhard BergerBER,Ferrari,1:21.500,+3.098s
15,23,Christian FittipaldiFIT,Minardi Ford,1:21.551,+3.149s
16,9,Derek WarwickWAR,Footwork Mugen Honda,1:21.693,+3.291s
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:21.822,+3.420s
18,24,Fabrizio BarbazzaBAR,Minardi Ford,1:21.846,+3.444s
19,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:22.187,+3.785s
20,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:22.210,+3.808s
21,26,Mark BlundellBLU,Ligier Renault,1:22.315,+3.913s
22,21,Michele AlboretoALB,Lola Ferrari,1:22.385,+3.983s
23,14,Rubens BarrichelloBAR,Jordan Hart,1:22.454,+4.052s
24,11,Alessandro ZanardiZAN,Lotus Ford,1:22.688,+4.286s
25,22,Luca BadoerBAD,Lola Ferrari,1:23.222,+4.820s
26,15,Ivan CapelliCAP,Jordan Hart,2:20.520,+62.118s
