Pos,No,Driver,Car,Time,Gap
1,0,Damon HillHIL,Williams Renault,1:53.438,
2,8,Ayrton SennaSEN,McLaren Ford,1:54.981,+1.543s
3,27,Jean AlesiALE,Ferrari,1:56.214,+2.776s
4,22,Luca BadoerBAD,Lola Ferrari,1:58.537,+5.099s
5,21,Michele AlboretoALB,Lola Ferrari,2:01.647,+8.209s
6,19,Philippe AlliotALL,Larrousse Lamborghini,2:05.671,+12.233s
7,3,Ukyo KatayamaKAT,Tyrrell Yamaha,2:09.455,+16.017s
8,25,Martin BrundleBRU,Ligier Renault,2:13.550,+20.112s
9,4,Andrea de CesarisDEC,Tyrrell Yamaha,2:14.708,+21.270s
10,20,Erik ComasCOM,Larrousse Lamborghini,2:15.760,+22.322s
11,24,Pierluigi MartiniMAR,Minardi Ford,2:17.312,+23.874s
12,26,Mark BlundellBLU,Ligier Renault,2:23.630,+30.192s
13,12,Johnny HerbertHER,Lotus Ford,2:47.005,+53.567s
14,29,Karl WendlingerWEN,Sauber,3:19.601,+86.163s
15,30,Jyrki JarvilehtoJAR,Sauber,3:36.612,+103.174s
16,11,Alessandro ZanardiZAN,Lotus Ford,3:52.091,+118.653s
17,28,Gerhard BergerBER,Ferrari,7:31.385,+337.947s
18,10,Aguri SuzukiSUZ,Footwork Mugen Honda,8:36.262,+402.824s
19,23,Christian FittipaldiFIT,Minardi Ford,10:58.684,+545.246s
20,7,Michael AndrettiAND,McLaren Ford,11:19.855,+566.417s
21,9,Derek WarwickWAR,Footwork Mugen Honda,13:05.786,
22,2,Alain ProstPRO,Williams Renault,23:06.568,
23,15,Thierry BoutsenBOU,Jordan Hart,27:40.089,
24,14,Rubens BarrichelloBAR,Jordan Hart,31:28.598,
