Pos,No,Driver,Car,Time,Gap
1,8,Ayrton SennaSEN,McLaren Ford,1:26.774,
2,5,Michael SchumacherMSC,Benetton Ford,1:28.329,+1.555s
3,2,Alain ProstPRO,Williams Renault,1:28.556,+1.782s
4,28,Gerhard BergerBER,Ferrari,1:28.572,+1.798s
5,7,Michael AndrettiAND,McLaren Ford,1:28.829,+2.055s
6,9,Derek WarwickWAR,Footwork Mugen Honda,1:29.213,+2.439s
7,12,Johnny HerbertHER,Lotus Ford,1:29.294,+2.520s
8,30,Jyrki JarvilehtoJAR,Sauber,1:29.484,+2.710s
9,25,Martin BrundleBRU,Ligier Renault,1:30.085,+3.311s
10,14,Rubens BarrichelloBAR,Jordan Hart,1:30.242,+3.468s
11,6,Riccardo PatresePAT,Benetton Ford,1:30.642,+3.868s
12,20,Erik ComasCOM,Larrousse Lamborghini,1:31.467,+4.693s
13,24,Fabrizio BarbazzaBAR,Minardi Ford,1:31.544,+4.770s
14,23,Christian FittipaldiFIT,Minardi Ford,1:31.669,+4.895s
15,29,Karl WendlingerWEN,Sauber,1:32.286,+5.512s
16,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:32.466,+5.692s
17,22,Luca BadoerBAD,Lola Ferrari,1:32.714,+5.940s
18,0,Damon HillHIL,Williams Renault,1:33.466,+6.692s
19,15,Thierry BoutsenBOU,Jordan Hart,1:33.496,+6.722s
20,21,Michele AlboretoALB,Lola Ferrari,1:33.745,+6.971s
21,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:34.044,+7.270s
22,11,Alessandro ZanardiZAN,Lotus Ford,1:34.405,+7.631s
23,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:34.575,+7.801s
24,27,Jean AlesiALE,Ferrari,1:34.763,+7.989s
25,19,Philippe AlliotALL,Larrousse Lamborghini,1:40.835,+14.061s
26,26,Mark BlundellBLU,Ligier Renault,1:40.960,+14.186s
