Pos,No,Driver,Car,Time
1,2,Jochen RindtRIN,Lotus Ford,1:20.850
2,4,Jackie StewartSTE,Matra Ford,1:21.140
3,1,Graham HillHIL,Lotus Ford,1:22.010
4,8,Chris AmonAMO,Ferrari,1:22.690
5,12,Jacky IckxICK,Brabham Climax,1:22.850
6,6,Bruce McLarenMCL,McLaren Ford,1:22.870
7,7,Denny HulmeHUL,McLaren Ford,1:23.070
8,11,Jack BrabhamBRA,Brabham Climax,1:23.100
9,16,Piers   CourageCOU,Brabham Ford,1:23.360
10,10,Jo SiffertSIF,Lotus Ford,1:23.940
11,5,Jean-Pierre BeltoiseBEL,Matra Ford,1:24.440
12,14,John SurteesSUR,BRM,1:25.070
13,15,Jackie OliverOLI,BRM,1:25.110
14,17,Silvio  Moser MOS,Brabham Ford,1:26.500
15,18,Vic  Elford ELF,McLaren Ford,1:28.470
