Pos,No,Driver,Car,Time
1,14,Jack BrabhamBRA,Brabham Climax,1:20.000
2,2,Jochen RindtRIN,Lotus Ford,1:20.200
3,5,Denny HulmeHUL,McLaren Ford,1:20.300
4,7,Jackie StewartSTE,Matra Ford,1:20.400
5,9,Chris AmonAMO,Ferrari,1:20.500
6,3,Mario AndrettiAND,Lotus Ford,1:20.800
7,1,Graham HillHIL,Lotus Ford,1:21.100
8,6,Bruce McLarenMCL,McLaren Ford,1:21.100
9,18,Basil van Rooyen VAN,McLaren Ford,1:21.800
10,16,John LoveLOV,Lotus Ford,1:22.100
11,8,Jean-Pierre BeltoiseBEL,Matra Ford,1:22.200
12,4,Jo SiffertSIF,Lotus Ford,1:22.200
13,15,Jacky IckxICK,Brabham Climax,1:23.100
14,11,Jackie OliverOLI,BRM,1:24.100
15,12,Pedro RodriguezROD,BRM,1:25.200
16,19,Peter de KlerkDEK,Brabham Repco,1:27.200
17,17,Sam TingleTIN,Lotus Ford,1:50.400
18,10,John SurteesSUR,BRM,
