Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Keke RosbergROS,Williams Honda,67,2:01:22.617,9
2,28,Rene ArnouxARN,Ferrari,67,+22.464s,6
3,11,Elio de AngelisDEA,Lotus Renault,66,+1 lap,4
4,5,Jacques LaffiteLAF,Williams Honda,65,+2 laps,3
5,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,65,+2 laps,2
6,12,Nigel MansellMAN,Lotus Renault,64,DNF,1
7,2,Corrado FabiFAB,Brabham BMW,64,+3 laps,0
8,14,Manfred WinkelhockWIN,ATS BMW,64,+3 laps,0
NC,8,Niki LaudaLAU,McLaren TAG,60,DNF,0
NC,7,Alain ProstPRO,McLaren TAG,56,DNF,0
NC,18,Thierry BoutsenBOU,Arrows BMW,55,DNF,0
NC,27,Michele AlboretoALB,Ferrari,54,DNF,0
NC,17,Marc SurerSUR,Arrows BMW,54,DNF,0
NC,19,Ayrton SennaSEN,Toleman Hart,47,DNF,0
NC,10,Jonathan  PalmerPAL,RAM Hart,46,DNF,0
NC,1,Nelson PiquetPIQ,Brabham BMW,45,DNF,0
NC,15,Patrick TambayTAM,Renault,25,DNF,0
NC,20,Johnny CecottoCEC,Toleman Hart,25,DNF,0
NC,26,Andrea de CesarisDEC,Ligier Renault,15,DNF,0
NC,21,Huub RothengatterROT,Spirit Hart,15,DNF,0
NC,22,Riccardo PatresePAT,Alfa Romeo,12,DNF,0
NC,16,Derek WarwickWAR,Renault,10,DNF,0
NC,23,Eddie  CheeverCHE,Alfa Romeo,8,DNF,0
