Pos,No,Driver,Car,Laps,Time/retired,Pts
1,7,Alain ProstPRO,McLaren TAG,67,1:35:13.284,9
2,27,Michele AlboretoALB,Ferrari,67,+23.911s,6
3,1,Nelson PiquetPIQ,Brabham BMW,67,+24.922s,4
4,8,Niki LaudaLAU,McLaren TAG,67,+43.086s,3
5,28,Rene ArnouxARN,Ferrari,67,+61.430s,2
6,22,Riccardo PatresePAT,Alfa Romeo,66,+1 lap,1
7,26,Andrea de CesarisDEC,Ligier Renault,65,+2 laps,0
8,21,Mauro BaldiBAL,Spirit Hart,65,+2 laps,0
9,18,Thierry BoutsenBOU,Arrows BMW,64,DNF,0
10,25,Francois HesnaultHES,Ligier Renault,64,+3 laps,0
11,16,Derek WarwickWAR,Renault,61,DNF,0
NC,30,Jo GartnerGAR,Osella Alfa Romeo,60,DNF,0
NC,2,Teo FabiFAB,Brabham BMW,57,DNF,0
NC,12,Nigel MansellMAN,Lotus Renault,51,DNF,0
NC,15,Patrick TambayTAM,Renault,47,DNF,0
NC,23,Eddie  CheeverCHE,Alfa Romeo,37,DNF,0
NC,9,Philippe AlliotALL,RAM Hart,37,DNF,0
NC,10,Jonathan  PalmerPAL,RAM Hart,35,DNF,0
NC,5,Jacques LaffiteLAF,Williams Honda,27,DNF,0
NC,11,Elio de AngelisDEA,Lotus Renault,25,DNF,0
NC,20,Stefan JohanssonJOH,Toleman Hart,17,DNF,0
