Pos,No,Driver,Car,Laps,Time/retired,Pts
1,7,Alain ProstPRO,McLaren TAG,70,1:41:11.753,9
2,8,Niki LaudaLAU,McLaren TAG,70,+13.425s,6
3,19,Ayrton SennaSEN,Toleman Hart,70,+20.042s,4
4,27,Michele AlboretoALB,Ferrari,70,+20.317s,3
5,11,Elio de AngelisDEA,Lotus Renault,70,+92.169s,2
6,1,Nelson PiquetPIQ,Brabham BMW,69,+1 lap,1
7,15,Patrick TambayTAM,Renault,69,+1 lap,0
8,22,Riccardo PatresePAT,Alfa Romeo,69,+1 lap,0
9,28,Rene ArnouxARN,Ferrari,69,+1 lap,0
10,2,Manfred WinkelhockWIN,Brabham BMW,69,+1 lap,0
11,20,Stefan JohanssonJOH,Toleman Hart,69,+1 lap,0
12,26,Andrea de CesarisDEC,Ligier Renault,69,+1 lap,0
13,14,Gerhard BergerBER,ATS BMW,68,+2 laps,0
14,5,Jacques LaffiteLAF,Williams Honda,67,+3 laps,0
15,21,Mauro BaldiBAL,Spirit Hart,66,+4 laps,0
16,30,Jo GartnerGAR,Osella Alfa Romeo,65,DNF,0
17,23,Eddie  CheeverCHE,Alfa Romeo,64,+6 laps,0
NC,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,60,DNF,0
NC,12,Nigel MansellMAN,Lotus Renault,52,DNF,0
NC,16,Derek WarwickWAR,Renault,51,DNF,0
NC,33,Philippe StreiffSTR,Renault,48,DNF,0
NC,6,Keke RosbergROS,Williams Honda,39,DNF,0
NC,25,Francois HesnaultHES,Ligier Renault,31,DNF,0
NC,18,Thierry BoutsenBOU,Arrows BMW,24,DNF,0
NC,10,Jonathan  PalmerPAL,RAM Hart,19,DNF,0
NC,17,Marc SurerSUR,Arrows BMW,8,DNF,0
NC,9,Philippe AlliotALL,RAM Hart,2,DNF,0
