Pos,No,Driver,Car,Laps,Time/retired,Pts
1,63,George RussellRUS,Mercedes,50,1:22:05.969,25
2,44,Lewis HamiltonHAM,Mercedes,50,+7.313s,18
3,55,Carlos SainzSAI,Ferrari,50,+11.906s,15
4,16,Charles LeclercLEC,Ferrari,50,+14.283s,12
5,1,Max VerstappenVER,Red Bull Racing Honda RBPT,50,+16.582s,10
6,4,Lando NorrisNOR,McLaren Mercedes,50,+43.385s,9
7,81,Oscar PiastriPIA,McLaren Mercedes,50,+51.365s,6
8,27,Nico HulkenbergHUL,Haas Ferrari,50,+59.808s,4
9,22,Yuki TsunodaTSU,RB Honda RBPT,50,+62.808s,2
10,11,Sergio PerezPER,Red Bull Racing Honda RBPT,50,+63.114s,1
11,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,50,+69.195s,0
12,20,Kevin MagnussenMAG,Haas Ferrari,50,+69.803s,0
13,24,Zhou GuanyuZHO,Kick Sauber Ferrari,50,+74.085s,0
14,43,Franco ColapintoCOL,Williams Mercedes,50,+75.172s,0
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,50,+84.102s,0
16,30,Liam LawsonLAW,RB Honda RBPT,50,+91.005s,0
17,31,Esteban OconOCO,Alpine Renault,49,+1 lap,0
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,49,+1 lap,0
NC,23,Alexander AlbonALB,Williams Mercedes,25,DNF,0
NC,10,Pierre GaslyGAS,Alpine Renault,15,DNF,0
