Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,63,1:25:25.252,25
2,4,Lando NorrisNOR,McLaren Mercedes,63,+0.725s,18
3,16,Charles LeclercLEC,Ferrari,63,+7.916s,15
4,81,Oscar PiastriPIA,McLaren Mercedes,63,+14.132s,12
5,55,Carlos SainzSAI,Ferrari,63,+22.325s,10
6,44,Lewis HamiltonHAM,Mercedes,63,+35.104s,8
7,63,George RussellRUS,Mercedes,63,+47.154s,7
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,63,+54.776s,4
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,63,+79.556s,2
10,22,Yuki TsunodaTSU,RB Honda RBPT,62,+1 lap,1
11,27,Nico HulkenbergHUL,Haas Ferrari,62,+1 lap,0
12,20,Kevin MagnussenMAG,Haas Ferrari,62,+1 lap,0
13,3,Daniel RicciardoRIC,RB Honda RBPT,62,+1 lap,0
14,31,Esteban OconOCO,Alpine Renault,62,+1 lap,0
15,24,Zhou GuanyuZHO,Kick Sauber Ferrari,62,+1 lap,0
16,10,Pierre GaslyGAS,Alpine Renault,62,+1 lap,0
17,2,Logan SargeantSAR,Williams Mercedes,62,+1 lap,0
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,62,+1 lap,0
19,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,62,+1 lap,0
NC,23,Alexander AlbonALB,Williams Mercedes,51,DNF,0
