Pos,No,Driver,Car,Laps,Time/retired,Pts
1,81,Oscar PiastriPIA,McLaren Mercedes,51,1:32:58.007,25
2,16,Charles LeclercLEC,Ferrari,51,+10.910s,18
3,63,George RussellRUS,Mercedes,51,+31.328s,15
4,4,Lando NorrisNOR,McLaren Mercedes,51,+36.143s,13
5,1,Max VerstappenVER,Red Bull Racing Honda RBPT,51,+77.098s,10
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,51,+85.468s,8
7,23,Alexander AlbonALB,Williams Mercedes,51,+87.396s,6
8,43,Franco ColapintoCOL,Williams Mercedes,51,+89.541s,4
9,44,Lewis HamiltonHAM,Mercedes,51,+92.401s,2
10,50,Oliver BearmanBEA,Haas Ferrari,51,+93.127s,1
11,27,Nico HulkenbergHUL,Haas Ferrari,51,+93.465s,0
12,10,Pierre GaslyGAS,Alpine Renault,51,+117.189s,0
13,3,Daniel RicciardoRIC,RB Honda RBPT,51,+146.907s,0
14,24,Zhou GuanyuZHO,Kick Sauber Ferrari,51,+148.841s,0
15,31,Esteban OconOCO,Alpine Renault,50,+1 lap,0
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,50,+1 lap,0
17,11,Sergio PerezPER,Red Bull Racing Honda RBPT,49,DNF,0
18,55,Carlos SainzSAI,Ferrari,49,DNF,0
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,45,DNF,0
NC,22,Yuki TsunodaTSU,RB Honda RBPT,14,DNF,0
