Pos,No,Driver,Car,Laps,Time/retired,Pts
1,4,Lando NorrisNOR,McLaren Mercedes,72,1:30:45.519,26
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,72,+22.896s,18
3,16,Charles LeclercLEC,Ferrari,72,+25.439s,15
4,81,Oscar PiastriPIA,McLaren Mercedes,72,+27.337s,12
5,55,Carlos SainzSAI,Ferrari,72,+32.137s,10
6,11,Sergio PerezPER,Red Bull Racing Honda RBPT,72,+39.542s,8
7,63,George RussellRUS,Mercedes,72,+44.617s,6
8,44,Lewis HamiltonHAM,Mercedes,72,+49.599s,4
9,10,Pierre GaslyGAS,Alpine Renault,71,+1 lap,2
10,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,71,+1 lap,1
11,27,Nico HulkenbergHUL,Haas Ferrari,71,+1 lap,0
12,3,Daniel RicciardoRIC,RB Honda RBPT,71,+1 lap,0
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,71,+1 lap,0
14,23,Alexander AlbonALB,Williams Mercedes,71,+1 lap,0
15,31,Esteban OconOCO,Alpine Renault,71,+1 lap,0
16,2,Logan SargeantSAR,Williams Mercedes,71,+1 lap,0
17,22,Yuki TsunodaTSU,RB Honda RBPT,71,+1 lap,0
18,20,Kevin MagnussenMAG,Haas Ferrari,71,+1 lap,0
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,70,+2 laps,0
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,70,+2 laps,0
