Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,57,1:31:05.323,25
2,16,Charles LeclercLEC,Ferrari,57,+6.031s,18
3,81,Oscar PiastriPIA,McLaren Mercedes,57,+6.819s,15
4,63,George RussellRUS,Mercedes,57,+14.104s,12
5,10,Pierre GaslyGAS,Alpine Renault,57,+16.782s,10
6,55,Carlos SainzSAI,Ferrari,57,+17.476s,8
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,57,+19.867s,6
8,24,Zhou GuanyuZHO,Kick Sauber Ferrari,57,+25.360s,4
9,20,Kevin MagnussenMAG,Haas Ferrari,57,+32.177s,2
10,4,Lando NorrisNOR,McLaren Mercedes,57,+35.762s,2
11,77,Valtteri BottasBOT,Kick Sauber Ferrari,57,+50.243s,0
12,44,Lewis HamiltonHAM,Mercedes,57,+56.122s,0
13,22,Yuki TsunodaTSU,RB Honda RBPT,57,+61.100s,0
14,30,Liam LawsonLAW,RB Honda RBPT,57,+62.656s,0
15,23,Alexander AlbonALB,Williams Mercedes,56,+1 lap,0
NC,27,Nico HulkenbergHUL,Haas Ferrari,39,DNF,0
NC,11,Sergio PerezPER,Red Bull Racing Honda RBPT,38,DNF,0
NC,18,Lance StrollSTR,Aston Martin Aramco Mercedes,8,DNF,0
NC,43,Franco ColapintoCOL,Williams Mercedes,0,DNF,0
NC,31,Esteban OconOCO,Alpine Renault,0,DNF,0
