Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,66,1:28:20.227,25
2,4,Lando NorrisNOR,McLaren Mercedes,66,+2.219s,19
3,44,Lewis HamiltonHAM,Mercedes,66,+17.790s,15
4,63,George RussellRUS,Mercedes,66,+22.320s,12
5,16,Charles LeclercLEC,Ferrari,66,+22.709s,10
6,55,Carlos SainzSAI,Ferrari,66,+31.028s,8
7,81,Oscar PiastriPIA,McLaren Mercedes,66,+33.760s,6
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,66,+59.524s,4
9,10,Pierre GaslyGAS,Alpine Renault,66,+62.025s,2
10,31,Esteban OconOCO,Alpine Renault,66,+71.889s,1
11,27,Nico HulkenbergHUL,Haas Ferrari,66,+79.215s,0
12,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,65,+1 lap,0
13,24,Zhou GuanyuZHO,Kick Sauber Ferrari,65,+1 lap,0
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,65,+1 lap,0
15,3,Daniel RicciardoRIC,RB Honda RBPT,65,+1 lap,0
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,65,+1 lap,0
17,20,Kevin MagnussenMAG,Haas Ferrari,65,+1 lap,0
18,23,Alexander AlbonALB,Williams Mercedes,65,+1 lap,0
19,22,Yuki TsunodaTSU,RB Honda RBPT,65,+1 lap,0
20,2,Logan SargeantSAR,Williams Mercedes,64,+2 laps,0
