Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,71,1:27:09.066,25
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,71,+1.469s,18
3,7,Kimi RäikkönenRAI,Ferrari,71,+4.764s,15
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,71,+5.193s,12
5,77,Valtteri BottasBOT,Mercedes,71,+22.943s,10
6,5,Sebastian VettelVET,Ferrari,71,+26.997s,8
7,16,Charles LeclercLEC,Sauber Ferrari,71,+44.199s,6
8,8,Romain GrosjeanGRO,Haas Ferrari,71,+51.230s,4
9,20,Kevin MagnussenMAG,Haas Ferrari,71,+52.857s,2
10,11,Sergio PerezPER,Force India Mercedes,70,+1 lap,1
11,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,70,+1 lap,0
12,55,Carlos SainzSAI,Renault,70,+1 lap,0
13,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,70,+1 lap,0
14,31,Esteban OconOCO,Force India Mercedes,70,+1 lap,0
15,2,Stoffel VandoorneVAN,McLaren Renault,70,+1 lap,0
16,35,Sergey SirotkinSIR,Williams Mercedes,69,+2 laps,0
17,14,Fernando AlonsoALO,McLaren Renault,69,+2 laps,0
18,18,Lance StrollSTR,Williams Mercedes,69,+2 laps,0
NC,27,Nico HulkenbergHUL,Renault,32,DNF,0
NC,9,Marcus EricssonERI,Sauber Ferrari,20,DNF,0
