Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,56,1:35:36.380,25
2,77,Valtteri BottasBOT,Mercedes,56,+8.894s,18
3,7,Kimi RäikkönenRAI,Ferrari,56,+9.637s,15
4,44,Lewis HamiltonHAM,Mercedes,56,+16.985s,12
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,56,+20.436s,10
6,27,Nico HulkenbergHUL,Renault,56,+21.052s,8
7,14,Fernando AlonsoALO,McLaren Renault,56,+30.639s,6
8,5,Sebastian VettelVET,Ferrari,56,+35.286s,4
9,55,Carlos SainzSAI,Renault,56,+35.763s,2
10,20,Kevin MagnussenMAG,Haas Ferrari,56,+39.594s,1
11,31,Esteban OconOCO,Force India Mercedes,56,+44.050s,0
12,11,Sergio PerezPER,Force India Mercedes,56,+44.725s,0
13,2,Stoffel VandoorneVAN,McLaren Renault,56,+49.373s,0
14,18,Lance StrollSTR,Williams Mercedes,56,+55.490s,0
15,35,Sergey SirotkinSIR,Williams Mercedes,56,+58.241s,0
16,9,Marcus EricssonERI,Sauber Ferrari,56,+62.604s,0
17,8,Romain GrosjeanGRO,Haas Ferrari,56,+65.296s,0
18,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,56,+66.330s,0
19,16,Charles LeclercLEC,Sauber Ferrari,56,+82.575s,0
20,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,51,DNF,0
