Pos,No,Driver,Car,Laps,Time/retired,Pts
1,7,Kimi RäikkönenRAI,Ferrari,56,1:34:18.643,25
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,56,+1.281s,18
3,44,Lewis HamiltonHAM,Mercedes,56,+2.342s,15
4,5,Sebastian VettelVET,Ferrari,56,+18.222s,12
5,77,Valtteri BottasBOT,Mercedes,56,+24.744s,10
6,27,Nico HulkenbergHUL,Renault,56,+87.210s,8
7,55,Carlos SainzSAI,Renault,56,+94.994s,6
DQ,31,Esteban OconOCO,Force India Mercedes,56,+99.288s,0
DQ,20,Kevin MagnussenMAG,Haas Ferrari,56,+100.657s,0
8,11,Sergio PerezPER,Force India Mercedes,56,+101.080s,4
9,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,55,+1 lap,2
10,9,Marcus EricssonERI,Sauber Ferrari,55,+1 lap,1
11,2,Stoffel VandoorneVAN,McLaren Renault,55,+1 lap,0
12,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,55,+1 lap,0
13,35,Sergey SirotkinSIR,Williams Mercedes,55,+1 lap,0
14,18,Lance StrollSTR,Williams Mercedes,54,+2 laps,0
NC,16,Charles LeclercLEC,Sauber Ferrari,31,DNF,0
NC,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,8,DNF,0
NC,8,Romain GrosjeanGRO,Haas Ferrari,2,DNF,0
NC,14,Fernando AlonsoALO,McLaren Renault,1,DNF,0
