Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,51,1:43:44.291,25
2,7,Kimi RäikkönenRAI,Ferrari,51,+2.460s,18
3,11,Sergio PerezPER,Force India Mercedes,51,+4.024s,15
4,5,Sebastian VettelVET,Ferrari,51,+5.329s,12
5,55,Carlos SainzSAI,Renault,51,+7.515s,10
6,16,Charles LeclercLEC,Sauber Ferrari,51,+9.158s,8
7,14,Fernando AlonsoALO,McLaren Renault,51,+10.931s,6
8,18,Lance StrollSTR,Williams Mercedes,51,+12.546s,4
9,2,Stoffel VandoorneVAN,McLaren Renault,51,+14.152s,2
10,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,51,+18.030s,1
11,9,Marcus EricssonERI,Sauber Ferrari,51,+18.512s,0
12,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,51,+24.720s,0
13,20,Kevin MagnussenMAG,Haas Ferrari,51,+40.663s,0
14,77,Valtteri BottasBOT,Mercedes,48,DNF,0
NC,8,Romain GrosjeanGRO,Haas Ferrari,42,DNF,0
NC,33,Max VerstappenVER,Red Bull Racing TAG Heuer,39,DNF,0
NC,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,39,DNF,0
NC,27,Nico HulkenbergHUL,Renault,10,DNF,0
NC,31,Esteban OconOCO,Force India Mercedes,0,DNF,0
NC,35,Sergey SirotkinSIR,Williams Mercedes,0,DNF,0
