Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,55,1:39:40.382,25
2,5,Sebastian VettelVET,Ferrari,55,+2.581s,18
3,33,Max VerstappenVER,Red Bull Racing TAG Heuer,55,+12.706s,15
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,55,+15.379s,12
5,77,Valtteri BottasBOT,Mercedes,55,+47.957s,10
6,55,Carlos SainzSAI,Renault,55,+72.548s,8
7,16,Charles LeclercLEC,Sauber Ferrari,55,+90.789s,6
8,11,Sergio PerezPER,Force India Mercedes,55,+91.275s,4
9,8,Romain GrosjeanGRO,Haas Ferrari,54,+1 lap,2
10,20,Kevin MagnussenMAG,Haas Ferrari,54,+1 lap,1
11,14,Fernando AlonsoALO,McLaren Renault,54,+1 lap,0
12,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,54,+1 lap,0
13,18,Lance StrollSTR,Williams Mercedes,54,+1 lap,0
14,2,Stoffel VandoorneVAN,McLaren Renault,54,+1 lap,0
15,35,Sergey SirotkinSIR,Williams Mercedes,54,+1 lap,0
NC,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,46,DNF,0
NC,31,Esteban OconOCO,Force India Mercedes,44,DNF,0
NC,9,Marcus EricssonERI,Sauber Ferrari,24,DNF,0
NC,7,Kimi RäikkönenRAI,Ferrari,6,DNF,0
NC,27,Nico HulkenbergHUL,Renault,0,DNF,0
