Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Sebastian VettelVET,Ferrari,57,1:32:01.940,25
2,77,Valtteri BottasBOT,Mercedes,57,+0.699s,18
3,44,Lewis HamiltonHAM,Mercedes,57,+6.512s,15
4,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,57,+62.234s,12
5,20,Kevin MagnussenMAG,Haas Ferrari,57,+75.046s,10
6,27,Nico HulkenbergHUL,Renault,57,+99.024s,8
7,14,Fernando AlonsoALO,McLaren Renault,56,+1 lap,6
8,2,Stoffel VandoorneVAN,McLaren Renault,56,+1 lap,4
9,9,Marcus EricssonERI,Sauber Ferrari,56,+1 lap,2
10,31,Esteban OconOCO,Force India Mercedes,56,+1 lap,1
11,55,Carlos SainzSAI,Renault,56,+1 lap,0
12,16,Charles LeclercLEC,Sauber Ferrari,56,+1 lap,0
13,8,Romain GrosjeanGRO,Haas Ferrari,56,+1 lap,0
14,18,Lance StrollSTR,Williams Mercedes,56,+1 lap,0
15,35,Sergey SirotkinSIR,Williams Mercedes,56,+1 lap,0
16,11,Sergio PerezPER,Force India Mercedes,56,+1 lap,0
17,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,56,+1 lap,0
NC,7,Kimi RäikkönenRAI,Ferrari,35,DNF,0
NC,33,Max VerstappenVER,Red Bull Racing TAG Heuer,3,DNF,0
NC,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1,DNF,0
