POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:15.293,28
2,4,Lando NorrisNOR,McLaren,+0.025s,25
3,10,Pierre GaslyGAS,Alpine,+0.276s,29
4,63,George RussellRUS,Mercedes,+0.400s,23
5,1,Max VerstappenVER,Red Bull Racing,+0.442s,26
6,16,Charles LeclercLEC,Ferrari,+0.475s,28
7,6,Isack HadjarHAD,Racing Bulls,+0.499s,22
8,22,Yuki TsunodaTSU,Red Bull Racing,+0.534s,29
9,23,Alexander AlbonALB,Williams,+0.623s,29
10,55,Carlos SainzSAI,Williams,+0.641s,29
11,44,Lewis HamiltonHAM,Ferrari,+0.650s,26
12,87,Oliver BearmanBEA,Haas,+0.716s,26
13,43,Franco ColapintoCOL,Alpine,+0.751s,29
14,14,Fernando AlonsoALO,Aston Martin,+0.927s,21
15,30,Liam LawsonLAW,Racing Bulls,+0.962s,22
16,5,Gabriel BortoletoBOR,Kick Sauber,+1.046s,27
17,18,Lance StrollSTR,Aston Martin,+1.048s,23
18,12,Kimi AntonelliANT,Mercedes,+1.113s,27
19,27,Nico HulkenbergHUL,Kick Sauber,+1.126s,26
20,31,Esteban OconOCO,Haas,+1.127s,24
