POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:04.580,35
2,81,Oscar PiastriPIA,McLaren,+0.157s,35
3,1,Max VerstappenVER,Red Bull Racing,+0.318s,24
4,18,Lance StrollSTR,Aston Martin,+0.442s,32
5,16,Charles LeclercLEC,Ferrari,+0.610s,32
6,63,George RussellRUS,Mercedes,+0.649s,34
7,22,Yuki TsunodaTSU,Red Bull Racing,+0.712s,31
8,5,Gabriel BortoletoBOR,Kick Sauber,+0.831s,31
9,14,Fernando AlonsoALO,Aston Martin,+0.877s,31
10,44,Lewis HamiltonHAM,Ferrari,+0.931s,34
11,12,Kimi AntonelliANT,Mercedes,+0.957s,35
12,30,Liam LawsonLAW,Racing Bulls,+0.963s,31
13,6,Isack HadjarHAD,Racing Bulls,+0.967s,34
14,10,Pierre GaslyGAS,Alpine,+1.033s,36
15,31,Esteban OconOCO,Haas,+1.118s,31
16,23,Alexander AlbonALB,Williams,+1.185s,37
17,55,Carlos SainzSAI,Williams,+1.234s,37
18,87,Oliver BearmanBEA,Haas,+1.255s,35
19,27,Nico HulkenbergHUL,Kick Sauber,+1.338s,35
20,43,Franco ColapintoCOL,Alpine,+1.596s,34
