POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:30.714,19
2,6,Isack HadjarHAD,Racing Bulls,+0.132s,19
3,1,Max VerstappenVER,Red Bull Racing,+0.143s,19
4,14,Fernando AlonsoALO,Aston Martin,+0.163s,19
5,4,Lando NorrisNOR,McLaren,+0.483s,18
6,18,Lance StrollSTR,Aston Martin,+0.508s,18
7,31,Esteban OconOCO,Haas,+0.584s,19
8,55,Carlos SainzSAI,Williams,+0.585s,20
9,16,Charles LeclercLEC,Ferrari,+0.752s,18
10,44,Lewis HamiltonHAM,Ferrari,+0.777s,17
11,22,Yuki TsunodaTSU,Red Bull Racing,+0.994s,18
12,87,Oliver BearmanBEA,Haas,+0.997s,18
13,23,Alexander AlbonALB,Williams,+1.346s,19
14,27,Nico HulkenbergHUL,Kick Sauber,+1.355s,19
15,5,Gabriel BortoletoBOR,Kick Sauber,+1.605s,19
16,10,Pierre GaslyGAS,Alpine,+1.744s,20
17,30,Liam LawsonLAW,Racing Bulls,+1.931s,10
18,12,Kimi AntonelliANT,Mercedes,+2.005s,18
19,43,Franco ColapintoCOL,Alpine,+2.425s,20
20,63,George RussellRUS,Mercedes,+2.517s,6
