POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,44,Lewis HamiltonHAM,Ferrari,1:41.293,21
2,16,Charles LeclercLEC,Ferrari,+0.074s,23
3,63,George RussellRUS,Mercedes,+0.477s,19
4,12,Kimi AntonelliANT,Mercedes,+0.486s,22
5,87,Oliver BearmanBEA,Haas,+0.598s,23
6,1,Max VerstappenVER,Red Bull Racing,+0.609s,22
7,30,Liam LawsonLAW,Racing Bulls,+0.696s,22
8,31,Esteban OconOCO,Haas,+0.874s,23
9,23,Alexander AlbonALB,Williams,+0.884s,24
10,4,Lando NorrisNOR,McLaren,+0.906s,7
11,55,Carlos SainzSAI,Williams,+0.962s,24
12,81,Oscar PiastriPIA,McLaren,+1.002s,23
13,6,Isack HadjarHAD,Racing Bulls,+1.150s,23
14,22,Yuki TsunodaTSU,Red Bull Racing,+1.151s,22
15,5,Gabriel BortoletoBOR,Kick Sauber,+1.268s,22
16,10,Pierre GaslyGAS,Alpine,+1.381s,22
17,18,Lance StrollSTR,Aston Martin,+1.478s,24
18,27,Nico HulkenbergHUL,Kick Sauber,+1.527s,22
19,14,Fernando AlonsoALO,Aston Martin,+1.674s,24
20,43,Franco ColapintoCOL,Alpine,+2.029s,22
