POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:28.114,13
2,4,Lando NorrisNOR,McLaren,+0.049s,12
3,6,Isack HadjarHAD,Racing Bulls,+0.404s,12
4,44,Lewis HamiltonHAM,Ferrari,+0.430s,14
5,30,Liam LawsonLAW,Racing Bulls,+0.445s,13
6,63,George RussellRUS,Mercedes,+0.453s,13
7,16,Charles LeclercLEC,Ferrari,+0.472s,14
8,1,Max VerstappenVER,Red Bull Racing,+0.556s,9
9,10,Pierre GaslyGAS,Alpine,+0.643s,13
10,55,Carlos SainzSAI,Williams,+0.718s,9
11,23,Alexander AlbonALB,Williams,+0.909s,11
12,27,Nico HulkenbergHUL,Kick Sauber,+0.948s,12
13,5,Gabriel BortoletoBOR,Kick Sauber,+1.221s,13
14,31,Esteban OconOCO,Haas,+1.393s,13
15,87,Oliver BearmanBEA,Haas,+1.540s,10
16,12,Kimi AntonelliANT,Mercedes,+1.619s,13
17,14,Fernando AlonsoALO,Aston Martin,+1.864s,5
18,22,Yuki TsunodaTSU,Red Bull Racing,+2.511s,12
19,18,Lance StrollSTR,Aston Martin,+2.731s,12
20,7,Jack DoohanDOO,Alpine,+3.545s,4
