POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:15.624,27
2,81,Oscar PiastriPIA,McLaren,+0.291s,30
3,16,Charles LeclercLEC,Ferrari,+0.399s,28
4,18,Lance StrollSTR,Aston Martin,+0.495s,28
5,14,Fernando AlonsoALO,Aston Martin,+0.609s,25
6,44,Lewis HamiltonHAM,Ferrari,+0.705s,28
7,63,George RussellRUS,Mercedes,+0.793s,27
8,6,Isack HadjarHAD,Racing Bulls,+0.803s,30
9,22,Yuki TsunodaTSU,Red Bull Racing,+0.861s,30
10,12,Kimi AntonelliANT,Mercedes,+0.896s,26
11,87,Oliver BearmanBEA,Haas,+0.943s,27
12,27,Nico HulkenbergHUL,Kick Sauber,+1.056s,31
13,31,Esteban OconOCO,Haas,+1.080s,29
14,1,Max VerstappenVER,Red Bull Racing,+1.167s,25
15,30,Liam LawsonLAW,Racing Bulls,+1.188s,29
16,55,Carlos SainzSAI,Williams,+1.250s,32
17,5,Gabriel BortoletoBOR,Kick Sauber,+1.322s,29
18,23,Alexander AlbonALB,Williams,+1.397s,30
19,10,Pierre GaslyGAS,Alpine,+1.419s,25
20,43,Franco ColapintoCOL,Alpine,+1.535s,29
