POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:28.267,21
2,81,Oscar PiastriPIA,McLaren,+0.163s,22
3,1,Max VerstappenVER,Red Bull Racing,+0.280s,23
4,16,Charles LeclercLEC,Ferrari,+0.482s,22
5,55,Carlos SainzSAI,Williams,+0.675s,24
6,22,Yuki TsunodaTSU,Red Bull Racing,+0.696s,19
7,63,George RussellRUS,Mercedes,+0.706s,21
8,10,Pierre GaslyGAS,Alpine,+0.839s,22
9,27,Nico HulkenbergHUL,Kick Sauber,+0.926s,21
10,23,Alexander AlbonALB,Williams,+0.953s,23
11,12,Kimi AntonelliANT,Mercedes,+0.975s,16
12,6,Isack HadjarHAD,Racing Bulls,+1.039s,17
13,44,Lewis HamiltonHAM,Ferrari,+1.104s,23
14,30,Liam LawsonLAW,Racing Bulls,+1.221s,22
15,14,Fernando AlonsoALO,Aston Martin,+1.395s,18
16,87,Oliver BearmanBEA,Haas,+1.487s,19
17,7,Jack DoohanDOO,Alpine,+1.645s,21
18,18,Lance StrollSTR,Aston Martin,+1.740s,18
19,31,Esteban OconOCO,Haas,+1.752s,22
