POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:12.760,28
2,63,George RussellRUS,Mercedes,+0.286s,32
3,1,Max VerstappenVER,Red Bull Racing,+0.310s,30
4,4,Lando NorrisNOR,McLaren,+0.310s,31
5,16,Charles LeclercLEC,Ferrari,+0.500s,33
6,12,Kimi AntonelliANT,Mercedes,+0.538s,31
7,14,Fernando AlonsoALO,Aston Martin,+0.541s,28
8,10,Pierre GaslyGAS,Alpine,+0.625s,30
9,6,Isack HadjarHAD,Racing Bulls,+0.640s,29
10,30,Liam LawsonLAW,Racing Bulls,+0.734s,29
11,44,Lewis HamiltonHAM,Ferrari,+0.773s,29
12,27,Nico HulkenbergHUL,Kick Sauber,+0.832s,30
13,22,Yuki TsunodaTSU,Red Bull Racing,+0.923s,31
14,55,Carlos SainzSAI,Williams,+0.961s,34
15,23,Alexander AlbonALB,Williams,+1.079s,32
16,18,Lance StrollSTR,Aston Martin,+1.079s,17
17,5,Gabriel BortoletoBOR,Kick Sauber,+1.199s,27
18,31,Esteban OconOCO,Haas,+1.245s,30
19,87,Oliver BearmanBEA,Haas,+1.366s,20
20,43,Franco ColapintoCOL,Alpine,+1.543s,31
