Position,Driver Number,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:16.439,,32
2,81,Oscar PiastriPIA,McLaren Mercedes,1:16.563,+0.124s,30
3,4,Lando NorrisNOR,McLaren Mercedes,1:16.580,+0.141s,30
4,22,Yuki TsunodaTSU,Racing Bulls Honda RBPT,1:16.784,+0.345s,29
5,44,Lewis HamiltonHAM,Ferrari,1:16.859,+0.420s,31
6,6,Isack HadjarHAD,Racing Bulls Honda RBPT,1:17.019,+0.580s,30
7,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:17.063,+0.624s,22
8,27,Nico HulkenbergHUL,Kick Sauber Ferrari,1:17.161,+0.722s,24
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:17.279,+0.840s,28
10,63,George RussellRUS,Mercedes,1:17.282,+0.843s,30
11,55,Carlos SainzSAI,Williams Mercedes,1:17.302,+0.863s,30
12,23,Alexander AlbonALB,Williams Mercedes,1:17.302,+0.863s,28
13,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:17.330,+0.891s,27
14,7,Jack DoohanDOO,Alpine Renault,1:17.394,+0.955s,30
15,10,Pierre GaslyGAS,Alpine Renault,1:17.493,+1.054s,30
16,12,Andrea Kimi AntonelliANT,Mercedes,1:17.634,+1.195s,31
17,30,Liam LawsonLAW,Red Bull Racing Honda RBPT,1:17.640,+1.201s,30
18,5,Gabriel BortoletoBOR,Kick Sauber Ferrari,1:17.847,+1.408s,29
19,31,Esteban OconOCO,Haas Ferrari,1:18.034,+1.595s,31
