POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:19.878,28
2,16,Charles LeclercLEC,Ferrari,+0.083s,29
3,55,Carlos SainzSAI,Williams,+0.096s,30
4,81,Oscar PiastriPIA,McLaren,+0.181s,29
5,44,Lewis HamiltonHAM,Ferrari,+0.192s,26
6,1,Max VerstappenVER,Red Bull Racing,+0.199s,27
7,23,Alexander AlbonALB,Williams,+0.301s,28
8,27,Nico HulkenbergHUL,Kick Sauber,+0.363s,27
9,22,Yuki TsunodaTSU,Red Bull Racing,+0.391s,28
10,63,George RussellRUS,Mercedes,+0.398s,29
11,6,Isack HadjarHAD,Racing Bulls,+0.505s,24
12,5,Gabriel BortoletoBOR,Kick Sauber,+0.597s,25
13,18,Lance StrollSTR,Aston Martin,+0.650s,28
14,87,Oliver BearmanBEA,Haas,+0.729s,29
15,14,Fernando AlonsoALO,Aston Martin,+0.767s,26
16,31,Esteban OconOCO,Haas,+0.776s,29
17,30,Liam LawsonLAW,Racing Bulls,+0.933s,25
18,10,Pierre GaslyGAS,Alpine,+1.224s,30
19,12,Kimi AntonelliANT,Mercedes,+1.489s,4
20,43,Franco ColapintoCOL,Alpine,+1.686s,30
