Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Renault,1:42.051
2,5,Nigel MansellMAN,Williams Honda,1:43.249
3,27,Michele AlboretoALB,Ferrari,1:43.748
4,2,Alain ProstPRO,McLaren TAG,1:44.088
5,6,Keke RosbergROS,Williams Honda,1:44.156
6,16,Derek WarwickWAR,Renault,1:44.163
7,23,Eddie  CheeverCHE,Alfa Romeo,1:44.231
8,11,Elio de AngelisDEA,Lotus Renault,1:44.769
9,28,Stefan JohanssonJOH,Ferrari,1:44.921
10,7,Nelson PiquetPIQ,Brabham BMW,1:45.194
11,8,Marc SurerSUR,Brabham BMW,1:45.979
12,1,Niki LaudaLAU,McLaren TAG,1:46.266
13,19,Teo FabiFAB,Toleman Hart,1:46.546
14,22,Riccardo PatresePAT,Alfa Romeo,1:46.592
15,15,Patrick TambayTAM,Renault,1:47.028
16,26,Jacques LaffiteLAF,Ligier Renault,1:47.267
17,25,Andrea de CesarisDEC,Ligier Renault,1:47.393
18,3,Martin BrundleBRU,Tyrrell Renault,1:47.563
19,4,Stefan BellofBEL,Tyrrell Renault,1:47.911
20,9,Manfred WinkelhockWIN,RAM Hart,1:47.926
21,18,Thierry BoutsenBOU,Arrows BMW,1:48.023
22,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:48.546
23,10,Philippe AlliotALL,RAM Hart,1:50.455
24,17,Gerhard BergerBER,Arrows BMW,2:05.307
25,29,Pierluigi MartiniMAR,Minardi Ford,3:04.446
