Pos,No,Driver,Car,Time
1,6,Keke RosbergROS,Williams Honda,1:05.591
2,7,Nelson PiquetPIQ,Brabham BMW,1:06.249
3,2,Alain ProstPRO,McLaren TAG,1:06.308
4,12,Ayrton SennaSEN,Lotus Renault,1:06.324
5,5,Nigel MansellMAN,Williams Honda,1:06.675
6,27,Michele AlboretoALB,Ferrari,1:06.793
7,25,Andrea de CesarisDEC,Ligier Renault,1:07.448
8,11,Elio de AngelisDEA,Lotus Renault,1:07.581
9,19,Teo FabiFAB,Toleman Hart,1:07.678
10,1,Niki LaudaLAU,McLaren TAG,1:07.743
11,28,Stefan JohanssonJOH,Ferrari,1:07.887
12,16,Derek WarwickWAR,Renault,1:08.238
13,15,Patrick TambayTAM,Renault,1:08.240
14,22,Riccardo PatresePAT,Alfa Romeo,1:08.384
15,8,Marc SurerSUR,Brabham BMW,1:08.587
16,26,Jacques LaffiteLAF,Ligier Renault,1:08.656
17,17,Gerhard BergerBER,Arrows BMW,1:08.672
18,9,Manfred WinkelhockWIN,RAM Hart,1:09.114
19,18,Thierry BoutsenBOU,Arrows BMW,1:09.131
20,3,Martin BrundleBRU,Tyrrell Renault,1:09.242
21,10,Philippe AlliotALL,RAM Hart,1:09.609
22,23,Eddie  CheeverCHE,Alfa Romeo,1:10.345
23,29,Pierluigi MartiniMAR,Minardi Ford,1:13.645
24,30,Jonathan  PalmerPAL,Zakspeed,1:13.713
25,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:16.400
26,4,Stefan BellofBEL,Tyrrell Renault,1:16.596
