Pos,No,Driver,Car,Time,Gap,Laps
1,2,Lewis HamiltonHAM,McLaren Mercedes,1:40.888,,25
2,5,Sebastian VettelVET,RBR Renault,1:41.145,+0.257s,28
3,8,Fernando AlonsoALO,Ferrari,1:41.314,+0.426s,29
4,6,Mark WebberWEB,RBR Renault,1:41.315,+0.427s,29
5,11,Robert KubicaKUB,Renault,1:41.576,+0.688s,31
6,7,Felipe MassaMAS,Ferrari,1:41.583,+0.695s,21
7,12,Vitaly PetrovPET,Renault,1:42.096,+1.208s,31
8,1,Jenson ButtonBUT,McLaren Mercedes,1:42.132,+1.244s,28
9,15,Vitantonio LiuzziLIU,Force India Mercedes,1:42.203,+1.315s,31
10,4,Nico RosbergROS,Mercedes,1:42.222,+1.334s,29
11,3,Michael SchumacherMSC,Mercedes,1:42.246,+1.358s,29
12,10,Nico HulkenbergHUL,Williams Cosworth,1:42.449,+1.561s,32
13,14,Adrian SutilSUT,Force India Mercedes,1:42.535,+1.647s,21
14,23,Kamui KobayashiKOB,Sauber Ferrari,1:42.768,+1.880s,26
15,9,Rubens BarrichelloBAR,Williams Cosworth,1:42.914,+2.026s,37
16,22,Nick HeidfeldHEI,Sauber Ferrari,1:42.950,+2.062s,34
17,17,Jaime AlguersuariALG,STR Ferrari,1:43.128,+2.240s,17
18,16,Sebastien BuemiBUE,STR Ferrari,1:43.584,+2.696s,33
19,19,Heikki KovalainenKOV,Lotus Cosworth,1:45.180,+4.292s,36
20,24,Timo GlockGLO,Virgin Cosworth,1:45.259,+4.371s,31
21,18,Jarno TrulliTRU,Lotus Cosworth,1:45.612,+4.724s,35
22,25,Lucas di GrassiDIG,Virgin Cosworth,1:46.053,+5.165s,29
23,20,Christian KlienKLI,HRT Cosworth,1:47.210,+6.322s,32
24,21,Bruno SennaSEN,HRT Cosworth,1:47.434,+6.546s,28
