Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Stirling MossMOS,Vanwall,50,2:11:27.800,8
2,22,Mike HawthornHAW,Ferrari,50,+312.750s,7
3,6,Stuart  Lewis-Evans LEW,Vanwall,49,+1 lap,4
4,8,Jean BehraBEH,BRM,49,+1 lap,3
5,24,Wolfgang von TripsVON,Ferrari,49,+1 lap,2
6,10,Harry SchellSCH,BRM,49,+1 lap,0
7,14,Jack BrabhamBRA,Cooper Climax,48,+2 laps,0
8,12,Maurice  TrintignantTRI,Cooper Climax,48,+2 laps,0
NC,28,Carroll  Shelby SHE,Maserati,47,DNF,0
9,16,Roy SalvadoriSAL,Cooper Climax,46,+4 laps,0
NC,4,Tony BrooksBRO,Vanwall,36,DNF,0
NC,20,Graham HillHIL,Lotus Climax,25,DNF,0
NC,18,Cliff AllisonALL,Maserati,15,DNF,0
NC,32,Jo BonnierBON,Maserati,9,DNF,0
NC,30,Maria Teresa de Filippis DEF,Maserati,6,DNF,0
