Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Peter CollinsCOL,Ferrari,75,2:09:04.200,8
2,2,Mike HawthornHAW,Ferrari,75,+24.200s,7
3,10,Roy SalvadoriSAL,Cooper Climax,75,+50.600s,4
4,9,Stuart  Lewis-Evans LEW,Vanwall,75,+50.800s,3
5,20,Harry SchellSCH,BRM,75,+74.800s,2
6,11,Jack BrabhamBRA,Cooper Climax,75,+83.200s,0
7,8,Tony BrooksBRO,Vanwall,74,+1 lap,0
8,4,Maurice  TrintignantTRI,Cooper Climax,73,+2 laps,0
9,5,Carroll  Shelby SHE,Maserati,72,+3 laps,0
NC,3,Wolfgang von TripsVON,Ferrari,59,DNF,0
NC,22,Jo BonnierBON,Maserati,49,DNF,0
NC,6,Gerino  Gerini GER,Maserati,43,DNF,0
NC,12,Ian Burgess BUR,Cooper Climax,40,DNF,0
NC,7,Stirling MossMOS,Vanwall,25,DNF,0
NC,17,Cliff AllisonALL,Lotus Climax,21,DNF,0
NC,15,Ivor  Bueb BUE,Connaught Alta,19,DNF,0
NC,19,Jean BehraBEH,BRM,19,DNF,0
NC,18,Alan  Stacey STA,Lotus Climax,19,DNF,0
NC,16,Graham HillHIL,Lotus Climax,17,DNF,0
NC,14,Jack  FairmanFAI,Connaught Alta,7,DNF,0
