Pos,No,Driver,Car,Time,Gap,Laps
1,3,Michael SchumacherMSC,Ferrari,1:26.944,,28
2,4,Rubens BarrichelloBAR,Ferrari,1:27.317,+0.373s,21
3,2,David CoulthardCOU,McLaren Mercedes,1:27.372,+0.428s,26
4,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:27.730,+0.786s,31
5,6,Jarno TrulliTRU,Jordan Mugen Honda,1:27.795,+0.851s,33
6,1,Mika HakkinenHAK,McLaren Mercedes,1:28.021,+1.077s,33
7,8,Johnny HerbertHER,Jaguar Cosworth,1:28.139,+1.195s,23
8,11,Giancarlo FisichellaFIS,Benetton Playlife,1:28.236,+1.292s,43
9,9,Ralf SchumacherRSC,Williams BMW,1:28.372,+1.428s,25
10,18,Pedro de la RosaDLR,Arrows Supertec,1:28.444,+1.500s,41
11,17,Mika SaloSAL,Sauber Petronas,1:28.555,+1.611s,30
12,7,Eddie IrvineIRV,Jaguar Cosworth,1:28.566,+1.622s,25
13,12,Alexander WurzWUR,Benetton Playlife,1:28.771,+1.827s,42
14,14,Jean AlesiALE,Prost Peugeot,1:28.950,+2.006s,26
15,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:28.952,+2.008s,42
16,19,Jos VerstappenVER,Arrows Supertec,1:28.975,+2.031s,32
17,23,Ricardo ZontaZON,BAR Honda,1:29.097,+2.153s,37
18,15,Nick HeidfeldHEI,Prost Peugeot,1:29.113,+2.169s,27
19,16,Pedro DinizDIN,Sauber Petronas,1:29.307,+2.363s,18
20,10,Jenson ButtonBUT,Williams BMW,1:29.326,+2.382s,36
21,20,Marc GeneGEN,Minardi Fondmetal,1:29.412,+2.468s,33
22,22,Jacques VilleneuveVIL,BAR Honda,7:53.474,+386.530s,6
