Pos,No,Driver,Car,Time,Gap,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:21.387,,28
2,3,Michael SchumacherMSC,Ferrari,1:21.486,+0.099s,36
3,2,David CoulthardCOU,McLaren Mercedes,1:22.098,+0.711s,29
4,7,Eddie IrvineIRV,Jaguar Cosworth,1:22.260,+0.873s,27
5,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:22.497,+1.110s,33
6,9,Ralf SchumacherRSC,Williams BMW,1:22.700,+1.313s,25
7,14,Jean AlesiALE,Prost Peugeot,1:22.708,+1.321s,25
8,18,Pedro de la RosaDLR,Arrows Supertec,1:22.944,+1.557s,39
9,6,Jarno TrulliTRU,Jordan Mugen Honda,1:23.066,+1.679s,30
10,4,Rubens BarrichelloBAR,Ferrari,1:23.095,+1.708s,35
11,17,Mika SaloSAL,Sauber Petronas,1:23.356,+1.969s,37
12,22,Jacques VilleneuveVIL,BAR Honda,1:23.438,+2.051s,42
13,10,Jenson ButtonBUT,Williams BMW,1:23.578,+2.191s,42
14,11,Giancarlo FisichellaFIS,Benetton Playlife,1:23.783,+2.396s,15
15,8,Johnny HerbertHER,Jaguar Cosworth,1:23.828,+2.441s,20
16,16,Pedro DinizDIN,Sauber Petronas,1:23.872,+2.485s,26
17,23,Ricardo ZontaZON,BAR Honda,1:23.976,+2.589s,48
18,20,Marc GeneGEN,Minardi Fondmetal,1:24.552,+3.165s,38
19,19,Jos VerstappenVER,Arrows Supertec,1:24.587,+3.200s,25
20,12,Alexander WurzWUR,Benetton Playlife,1:25.325,+3.938s,21
21,15,Nick HeidfeldHEI,Prost Peugeot,1:25.462,+4.075s,23
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:27.031,+5.644s,24
