Pos,No,Driver,Car,Time,Gap,Laps
1,18,Pastor MaldonadoMAL,Williams Renault,1:40.890,,22
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:40.973,+0.083s,21
3,2,Mark WebberWEB,Red Bull Racing Renault,1:40.984,+0.094s,19
4,3,Jenson ButtonBUT,McLaren Mercedes,1:40.994,+0.104s,19
5,5,Fernando AlonsoALO,Ferrari,1:41.065,+0.175s,26
6,11,Paul di RestaDIR,Force India Mercedes,1:41.105,+0.215s,15
7,7,Michael SchumacherMSC,Mercedes,1:41.117,+0.227s,22
8,4,Lewis HamiltonHAM,McLaren Mercedes,1:41.158,+0.268s,18
9,8,Nico RosbergROS,Mercedes,1:41.182,+0.292s,21
10,9,Kimi RäikkönenRAI,Lotus Renault,1:41.620,+0.730s,22
11,10,Romain GrosjeanGRO,Lotus Renault,1:41.784,+0.894s,15
12,14,Kamui KobayashiKOB,Sauber Ferrari,1:41.838,+0.948s,19
13,15,Sergio PerezPER,Sauber Ferrari,1:41.861,+0.971s,16
14,6,Felipe MassaMAS,Ferrari,1:42.109,+1.219s,20
15,12,Jules BianchiBIA,Force India Mercedes,1:42.175,+1.285s,21
16,19,Valtteri BottasBOT,Williams Renault,1:42.299,+1.409s,24
17,20,Heikki KovalainenKOV,Caterham Renault,1:42.442,+1.552s,26
18,17,Jean-Eric VergneVER,STR Ferrari,1:42.758,+1.868s,27
19,16,Daniel RicciardoRIC,STR Ferrari,1:42.777,+1.887s,28
20,21,Vitaly PetrovPET,Caterham Renault,1:43.209,+2.319s,19
21,25,Charles PicPIC,Marussia Cosworth,1:44.173,+3.283s,19
22,22,Pedro de la RosaDLR,HRT Cosworth,1:44.996,+4.106s,15
23,23,Narain KarthikeyanKAR,HRT Cosworth,1:45.120,+4.230s,23
24,24,Timo GlockGLO,Marussia Cosworth,1:45.338,+4.448s,7
