Pos,No,Driver,Car,Laps,Time/retired,Pts
1,9,Mika HakkinenHAK,McLaren Mercedes,69,1:38:57.771,10
2,10,David CoulthardCOU,McLaren Mercedes,69,+1.654s,6
3,3,Jacques VilleneuveVIL,Williams Renault,69,+1.803s,4
4,8,Gerhard BergerBER,Benetton Renault,69,+1.919s,3
5,6,Eddie IrvineIRV,Ferrari,69,+3.789s,2
6,4,Heinz-Harald FrentzenFRE,Williams Renault,69,+4.537s,1
7,14,Olivier PanisPAN,Prost Mugen Honda,69,+67.145s,0
8,16,Johnny HerbertHER,Sauber Petronas,69,+72.961s,0
9,23,Jan MagnussenMAG,Stewart Ford,69,+77.487s,0
10,15,Shinji NakanoNAK,Prost Mugen Honda,69,+78.215s,0
11,12,Giancarlo FisichellaFIS,Jordan Peugeot,68,+1 lap,0
12,19,Mika SaloSAL,Tyrrell Ford,68,+1 lap,0
13,7,Jean AlesiALE,Benetton Renault,68,+1 lap,0
14,17,Norberto FontanaFON,Sauber Petronas,68,+1 lap,0
15,21,Tarso MarquesMAR,Minardi Hart,68,+1 lap,0
16,18,Jos VerstappenVER,Tyrrell Ford,68,+1 lap,0
17,20,Ukyo KatayamaKAT,Minardi Hart,68,+1 lap,0
NC,5,Michael SchumacherMSC,Ferrari,47,DNF,0
NC,1,Damon HillHIL,Arrows Yamaha,47,DNF,0
NC,11,Ralf SchumacherRSC,Jordan Peugeot,44,DNF,0
NC,22,Rubens BarrichelloBAR,Stewart Ford,30,DNF,0
NC,2,Pedro DinizDIN,Arrows Yamaha,11,DNF,0
