Pos,No,Driver,Car,Laps,Time/retired,Pts
1,4,Heinz-Harald FrentzenFRE,Williams Renault,62,1:31:00.673,10
2,5,Michael SchumacherMSC,Ferrari,62,+1.237s,6
3,6,Eddie IrvineIRV,Ferrari,62,+78.343s,4
4,12,Giancarlo FisichellaFIS,Jordan Peugeot,62,+83.388s,3
5,7,Jean AlesiALE,Benetton Renault,61,+1 lap,2
6,9,Mika HakkinenHAK,McLaren Mercedes,61,+1 lap,1
7,17,Nicola LariniLAR,Sauber Petronas,61,+1 lap,0
8,14,Olivier PanisPAN,Prost Mugen Honda,61,+1 lap,0
9,19,Mika SaloSAL,Tyrrell Ford,60,+2 laps,0
10,18,Jos VerstappenVER,Tyrrell Ford,60,+2 laps,0
11,20,Ukyo KatayamaKAT,Minardi Hart,59,+3 laps,0
NC,2,Pedro DinizDIN,Arrows Yamaha,53,DNF,0
NC,3,Jacques VilleneuveVIL,Williams Renault,40,DNF,0
NC,10,David CoulthardCOU,McLaren Mercedes,38,DNF,0
NC,22,Rubens BarrichelloBAR,Stewart Ford,32,DNF,0
NC,16,Johnny HerbertHER,Sauber Petronas,18,DNF,0
NC,11,Ralf SchumacherRSC,Jordan Peugeot,17,DNF,0
NC,15,Shinji NakanoNAK,Prost Mugen Honda,11,DNF,0
NC,1,Damon HillHIL,Arrows Yamaha,11,DNF,0
NC,8,Gerhard BergerBER,Benetton Renault,4,DNF,0
NC,23,Jan MagnussenMAG,Stewart Ford,2,DNF,0
NC,21,Jarno TrulliTRU,Minardi Hart,0,DNF,0
