Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,12,Nigel MansellMAN,Lotus Ford,43,,,
1,1,Keke RosbergROS,Williams Honda,41,,,
1,7,John WatsonWAT,McLaren TAG,31,,,
1,2,Jacques LaffiteLAF,Williams Honda,37,,,
1,9,Manfred WinkelhockWIN,ATS BMW,29,,,
1,28,Rene ArnouxARN,Ferrari,32,,,
1,23,Mauro BaldiBAL,Alfa Romeo,38,,,
1,22,Andrea de CesarisDEC,Alfa Romeo,34,,,
1,26,Raul BoeselBOE,Ligier Ford,39,,,
1,8,Niki LaudaLAU,McLaren TAG,35,,,
1,25,Jean-Pierre JarierJAR,Ligier Ford,33,,,
1,15,Alain ProstPRO,Renault,36,,,
1,5,Nelson PiquetPIQ,Brabham BMW,41,,,
1,27,Patrick TambayTAM,Ferrari,36,,,
