Pos,No,Driver,Car,Time,Laps
1,2,Rubens BarrichelloBAR,Ferrari,1:08.082,10
2,5,Ralf SchumacherRSC,Williams BMW,1:08.364,12
3,1,Michael SchumacherMSC,Ferrari,1:08.704,10
4,6,Juan Pablo MontoyaMOY,Williams BMW,1:09.118,12
5,7,Nick HeidfeldHEI,Sauber Petronas,1:09.129,11
6,4,Kimi RäikkönenRAI,McLaren Mercedes,1:09.154,12
7,8,Felipe MassaMAS,Sauber Petronas,1:09.228,10
8,3,David CoulthardCOU,McLaren Mercedes,1:09.335,12
9,12,Olivier PanisPAN,BAR Honda,1:09.561,12
10,24,Mika SaloSAL,Toyota,1:09.661,11
11,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:09.671,11
12,21,Enrique BernoldiBER,Arrows Cosworth,1:09.723,12
13,15,Jenson ButtonBUT,Renault,1:09.780,11
14,25,Allan McNishMCN,Toyota,1:09.818,12
15,9,Giancarlo FisichellaFIS,Jordan Honda,1:09.901,12
16,14,Jarno TrulliTRU,Renault,1:09.980,10
17,11,Jacques VilleneuveVIL,BAR Honda,1:10.051,12
18,10,Takuma SatoSAT,Jordan Honda,1:10.058,12
19,17,Pedro de la RosaDLR,Jaguar Cosworth,1:10.533,12
20,16,Eddie IrvineIRV,Jaguar Cosworth,1:10.741,10
21,23,Mark WebberWEB,Minardi Asiatech,1:11.388,10
22,22,Alex YoongYOO,Minardi Asiatech,1:12.336,12
