Pos,No,Driver,Car,Time,Laps
1,6,Juan Pablo MontoyaMOY,Williams BMW,1:20.264,11
2,1,Michael SchumacherMSC,Ferrari,1:20.521,12
3,5,Ralf SchumacherRSC,Williams BMW,1:20.542,12
4,2,Rubens BarrichelloBAR,Ferrari,1:20.706,12
5,16,Eddie IrvineIRV,Jaguar Cosworth,1:21.606,12
6,4,Kimi RäikkönenRAI,McLaren Mercedes,1:21.712,9
7,3,David CoulthardCOU,McLaren Mercedes,1:21.803,12
8,17,Pedro de la RosaDLR,Jaguar Cosworth,1:21.960,12
9,11,Jacques VilleneuveVIL,BAR Honda,1:22.126,11
10,24,Mika SaloSAL,Toyota,1:22.318,12
11,14,Jarno TrulliTRU,Renault,1:22.383,11
12,9,Giancarlo FisichellaFIS,Jordan Honda,1:22.515,11
13,25,Allan McNishMCN,Toyota,1:22.521,10
14,8,Felipe MassaMAS,Sauber Petronas,1:22.565,12
15,7,Nick HeidfeldHEI,Sauber Petronas,1:22.601,10
16,12,Olivier PanisPAN,BAR Honda,1:22.645,10
17,15,Jenson ButtonBUT,Renault,1:22.714,12
18,10,Takuma SatoSAT,Jordan Honda,1:23.166,9
19,23,Mark WebberWEB,Minardi Asiatech,1:23.794,11
20,22,Alex YoongYOO,Minardi Asiatech,1:25.111,12
