Pos,No,Driver,Car,Time,Laps
1,2,Rubens BarrichelloBAR,Ferrari,1:25.843,9
2,1,Michael SchumacherMSC,Ferrari,1:25.848,10
3,5,Ralf SchumacherRSC,Williams BMW,1:26.279,3
4,3,David CoulthardCOU,McLaren Mercedes,1:26.446,6
5,4,Kimi RäikkönenRAI,McLaren Mercedes,1:27.161,7
6,6,Juan Pablo MontoyaMOY,Williams BMW,1:27.249,4
7,14,Jarno TrulliTRU,Renault,1:27.710,6
8,9,Giancarlo FisichellaFIS,Jordan Honda,1:27.869,9
9,8,Felipe MassaMAS,Sauber Petronas,1:27.972,5
10,7,Nick HeidfeldHEI,Sauber Petronas,1:28.232,5
11,15,Jenson ButtonBUT,Renault,1:28.361,5
12,12,Olivier PanisPAN,BAR Honda,1:28.381,4
13,11,Jacques VilleneuveVIL,BAR Honda,1:28.657,6
14,24,Mika SaloSAL,Toyota,1:29.205,5
15,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:29.474,3
16,25,Allan McNishMCN,Toyota,1:29.636,5
17,21,Enrique BernoldiBER,Arrows Cosworth,1:29.738,4
18,23,Mark WebberWEB,Minardi Asiatech,1:30.086,6
19,16,Eddie IrvineIRV,Jaguar Cosworth,1:30.113,6
20,17,Pedro de la RosaDLR,Jaguar Cosworth,1:30.192,4
21,22,Alex YoongYOO,Minardi Asiatech,1:31.504,4
NC,10,Takuma SatoSAT,Jordan Honda,1:53.351,7
