Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:21.091,12
2,2,Rubens BarrichelloBAR,Ferrari,1:21.155,8
3,5,Ralf SchumacherRSC,Williams BMW,1:21.473,11
4,6,Juan Pablo MontoyaMOY,Williams BMW,1:21.605,12
5,4,Kimi RäikkönenRAI,McLaren Mercedes,1:22.104,11
6,3,David CoulthardCOU,McLaren Mercedes,1:22.490,12
7,7,Nick HeidfeldHEI,Sauber Petronas,1:22.767,12
8,14,Jarno TrulliTRU,Renault,1:22.833,12
9,15,Jenson ButtonBUT,Renault,1:22.857,12
10,11,Jacques VilleneuveVIL,BAR Honda,1:23.116,11
11,8,Felipe MassaMAS,Sauber Petronas,1:23.681,12
12,12,Olivier PanisPAN,BAR Honda,1:23.821,12
13,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:23.862,12
14,10,Takuma SatoSAT,Jordan Honda,1:24.050,10
15,9,Giancarlo FisichellaFIS,Jordan Honda,1:24.253,11
16,24,Mika SaloSAL,Toyota,1:24.328,12
17,25,Allan McNishMCN,Toyota,1:24.331,12
18,16,Eddie IrvineIRV,Jaguar Cosworth,1:24.579,12
19,23,Mark WebberWEB,Minardi Asiatech,1:24.790,10
20,21,Enrique BernoldiBER,Arrows Cosworth,1:24.808,11
21,17,Pedro de la RosaDLR,Jaguar Cosworth,1:24.852,12
NC,22,Alex YoongYOO,Minardi Asiatech,1:27.241,11
