Pos,No,Driver,Car,Time,Laps
1,6,Juan Pablo MontoyaMOY,Williams BMW,1:11.985,12
2,1,Michael SchumacherMSC,Ferrari,1:12.008,12
3,2,Rubens BarrichelloBAR,Ferrari,1:12.197,12
4,4,Kimi RäikkönenRAI,McLaren Mercedes,1:12.244,12
5,5,Ralf SchumacherRSC,Williams BMW,1:12.424,12
6,3,David CoulthardCOU,McLaren Mercedes,1:12.498,12
7,15,Jenson ButtonBUT,Renault,1:12.761,12
8,14,Jarno TrulliTRU,Renault,1:13.030,12
9,16,Eddie IrvineIRV,Jaguar Cosworth,1:13.188,12
10,7,Nick HeidfeldHEI,Sauber Petronas,1:13.370,12
11,12,Olivier PanisPAN,BAR Honda,1:13.457,12
12,8,Felipe MassaMAS,Sauber Petronas,1:13.501,12
13,11,Jacques VilleneuveVIL,BAR Honda,1:13.506,12
14,10,Takuma SatoSAT,Jordan Honda,1:13.542,12
15,17,Pedro de la RosaDLR,Jaguar Cosworth,1:13.656,8
16,24,Mika SaloSAL,Toyota,1:13.837,12
17,25,Allan McNishMCN,Toyota,1:13.949,12
18,23,Mark WebberWEB,Minardi Asiatech,1:14.800,6
19,22,Alex YoongYOO,Minardi Asiatech,1:16.798,9
NC,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:18.497,3
NC,21,Enrique BernoldiBER,Arrows Cosworth,1:19.843,3
