Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:14.389,11
2,5,Ralf SchumacherRSC,Williams BMW,1:14.570,12
3,2,Rubens BarrichelloBAR,Ferrari,1:14.693,12
4,6,Juan Pablo MontoyaMOY,Williams BMW,1:15.108,11
5,4,Kimi RäikkönenRAI,McLaren Mercedes,1:15.639,11
6,9,Giancarlo FisichellaFIS,Jordan Honda,1:15.690,12
7,12,Olivier PanisPAN,BAR Honda,1:15.851,12
8,14,Jarno TrulliTRU,Renault,1:15.885,12
9,3,David CoulthardCOU,McLaren Mercedes,1:15.909,12
10,7,Nick HeidfeldHEI,Sauber Petronas,1:15.990,12
11,11,Jacques VilleneuveVIL,BAR Honda,1:16.070,11
12,10,Takuma SatoSAT,Jordan Honda,1:16.072,12
13,15,Jenson ButtonBUT,Renault,1:16.278,12
14,8,Felipe MassaMAS,Sauber Petronas,1:16.351,11
15,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:16.505,12
16,16,Eddie IrvineIRV,Jaguar Cosworth,1:16.533,12
17,25,Allan McNishMCN,Toyota,1:16.594,12
18,21,Enrique BernoldiBER,Arrows Cosworth,1:16.645,12
19,24,Mika SaloSAL,Toyota,1:16.685,11
20,17,Pedro de la RosaDLR,Jaguar Cosworth,1:17.077,12
21,23,Mark WebberWEB,Minardi Asiatech,1:17.996,11
NC,22,Alex YoongYOO,Minardi Asiatech,1:19.775,12
