Pos,No,Driver,Car,Time,Laps
1,2,Rubens BarrichelloBAR,Ferrari,1:13.333,11
2,1,Michael SchumacherMSC,Ferrari,1:13.392,9
3,5,Ralf SchumacherRSC,Williams BMW,1:13.746,11
4,6,Juan Pablo MontoyaMOY,Williams BMW,1:14.706,11
5,9,Giancarlo FisichellaFIS,Jordan Honda,1:14.880,11
6,14,Jarno TrulliTRU,Renault,1:14.980,12
7,8,Felipe MassaMAS,Sauber Petronas,1:15.047,12
8,7,Nick HeidfeldHEI,Sauber Petronas,1:15.129,12
9,15,Jenson ButtonBUT,Renault,1:15.214,11
10,3,David CoulthardCOU,McLaren Mercedes,1:15.223,12
11,4,Kimi RäikkönenRAI,McLaren Mercedes,1:15.243,12
12,12,Olivier PanisPAN,BAR Honda,1:15.556,11
13,11,Jacques VilleneuveVIL,BAR Honda,1:15.583,11
14,10,Takuma SatoSAT,Jordan Honda,1:15.804,11
15,17,Pedro de la RosaDLR,Jaguar Cosworth,1:15.867,12
16,16,Eddie IrvineIRV,Jaguar Cosworth,1:16.419,10
17,24,Mika SaloSAL,Toyota,1:16.473,11
18,25,Allan McNishMCN,Toyota,1:16.626,11
19,23,Mark WebberWEB,Minardi Asiatech,1:17.428,9
20,22,Anthony DavidsonDAV,Minardi Asiatech,1:17.959,11
