Pos,No,Driver,Car,Time,Laps
1,6,Juan Pablo MontoyaMOY,Williams BMW,1:18.998,9
2,2,Rubens BarrichelloBAR,Ferrari,1:19.032,11
3,1,Michael SchumacherMSC,Ferrari,1:19.042,9
4,5,Ralf SchumacherRSC,Williams BMW,1:19.329,9
5,4,Kimi RäikkönenRAI,McLaren Mercedes,1:20.133,11
6,3,David CoulthardCOU,McLaren Mercedes,1:20.315,11
7,14,Jarno TrulliTRU,Renault,1:20.516,11
8,24,Mika SaloSAL,Toyota,1:20.995,12
9,11,Jacques VilleneuveVIL,BAR Honda,1:21.130,12
10,7,Nick HeidfeldHEI,Sauber Petronas,1:21.187,12
11,8,Felipe MassaMAS,Sauber Petronas,1:21.191,12
12,15,Jenson ButtonBUT,Renault,1:21.247,11
13,12,Olivier PanisPAN,BAR Honda,1:21.274,12
14,10,Takuma SatoSAT,Jordan Honda,1:21.337,11
15,25,Allan McNishMCN,Toyota,1:21.382,11
16,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:21.416,12
17,9,Giancarlo FisichellaFIS,Jordan Honda,1:21.636,12
18,21,Enrique BernoldiBER,Arrows Cosworth,1:21.780,12
19,16,Eddie IrvineIRV,Jaguar Cosworth,1:21.851,11
20,23,Mark WebberWEB,Minardi Asiatech,1:22.281,11
21,17,Pedro de la RosaDLR,Jaguar Cosworth,1:23.422,6
NC,22,Alex YoongYOO,Minardi Asiatech,1:24.785,12
