Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:31.317,9
2,2,Rubens BarrichelloBAR,Ferrari,1:31.749,12
3,3,David CoulthardCOU,McLaren Mercedes,1:32.088,12
4,4,Kimi RäikkönenRAI,McLaren Mercedes,1:32.197,10
5,5,Ralf SchumacherRSC,Williams BMW,1:32.444,10
6,6,Juan Pablo MontoyaMOY,Williams BMW,1:32.507,10
7,10,Takuma SatoSAT,Jordan Honda,1:33.090,12
8,9,Giancarlo FisichellaFIS,Jordan Honda,1:33.276,12
9,11,Jacques VilleneuveVIL,BAR Honda,1:33.349,11
10,15,Jenson ButtonBUT,Renault,1:33.429,12
11,14,Jarno TrulliTRU,Renault,1:33.547,8
12,7,Nick HeidfeldHEI,Sauber Petronas,1:33.553,12
13,24,Mika SaloSAL,Toyota,1:33.742,11
14,16,Eddie IrvineIRV,Jaguar Cosworth,1:33.915,8
15,8,Felipe MassaMAS,Sauber Petronas,1:33.979,11
16,12,Olivier PanisPAN,BAR Honda,1:34.192,10
17,17,Pedro de la RosaDLR,Jaguar Cosworth,1:34.227,12
18,25,Allan McNishMCN,Toyota,1:35.191,5
19,23,Mark WebberWEB,Minardi Asiatech,1:35.958,11
20,22,Alex YoongYOO,Minardi Asiatech,1:36.267,12
