Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:16.364,9
2,2,Rubens BarrichelloBAR,Ferrari,1:16.690,9
3,5,Ralf SchumacherRSC,Williams BMW,1:17.277,9
4,6,Juan Pablo MontoyaMOY,Williams BMW,1:17.425,10
5,4,Kimi RäikkönenRAI,McLaren Mercedes,1:17.519,11
6,15,Jenson ButtonBUT,Renault,1:17.638,7
7,3,David CoulthardCOU,McLaren Mercedes,1:17.662,11
8,7,Nick HeidfeldHEI,Sauber Petronas,1:17.851,12
9,14,Jarno TrulliTRU,Renault,1:17.929,9
10,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:18.121,12
11,8,Felipe MassaMAS,Sauber Petronas,1:18.139,11
12,9,Giancarlo FisichellaFIS,Jordan Honda,1:18.291,12
13,12,Olivier PanisPAN,BAR Honda,1:18.472,12
14,21,Enrique BernoldiBER,Arrows Cosworth,1:18.515,12
15,11,Jacques VilleneuveVIL,BAR Honda,1:18.847,12
16,17,Pedro de la RosaDLR,Jaguar Cosworth,1:18.885,12
17,24,Mika SaloSAL,Toyota,1:18.897,12
18,10,Takuma SatoSAT,Jordan Honda,1:19.002,12
19,25,Allan McNishMCN,Toyota,1:19.025,11
20,23,Mark WebberWEB,Minardi Asiatech,1:19.802,9
21,22,Alex YoongYOO,Minardi Asiatech,1:21.415,6
