Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:10.790,11
2,2,Rubens BarrichelloBAR,Ferrari,1:11.058,12
3,3,David CoulthardCOU,McLaren Mercedes,1:11.413,12
4,6,Juan Pablo MontoyaMOY,Williams BMW,1:11.414,11
5,5,Ralf SchumacherRSC,Williams BMW,1:11.587,12
6,4,Kimi RäikkönenRAI,McLaren Mercedes,1:11.633,12
7,11,Jacques VilleneuveVIL,BAR Honda,1:11.738,12
8,14,Jarno TrulliTRU,Renault,1:11.888,12
9,9,Giancarlo FisichellaFIS,Jordan Honda,1:11.902,12
10,7,Nick HeidfeldHEI,Sauber Petronas,1:11.953,11
11,8,Heinz-Harald FrentzenFRE,Sauber Petronas,1:12.083,12
12,12,Olivier PanisPAN,BAR Honda,1:12.161,9
13,16,Eddie IrvineIRV,Jaguar Cosworth,1:12.282,10
14,15,Jenson ButtonBUT,Renault,1:12.401,12
15,10,Takuma SatoSAT,Jordan Honda,1:12.647,12
16,25,Allan McNishMCN,Toyota,1:12.723,11
17,17,Pedro de la RosaDLR,Jaguar Cosworth,1:12.739,12
18,23,Mark WebberWEB,Minardi Asiatech,1:13.128,12
19,24,Mika SaloSAL,Toyota,1:13.213,11
20,22,Alex YoongYOO,Minardi Asiatech,1:13.809,5
