Pos,No,Driver,Car,Time
1,1,Nelson PiquetPIQ,Brabham BMW,1:10.869
2,7,Alain ProstPRO,McLaren TAG,1:11.076
3,8,Niki LaudaLAU,McLaren TAG,1:11.344
4,11,Elio de AngelisDEA,Lotus Renault,1:11.573
5,6,Keke RosbergROS,Williams Honda,1:11.603
6,16,Derek WarwickWAR,Renault,1:11.703
7,19,Ayrton SennaSEN,Toleman Hart,1:11.890
8,12,Nigel MansellMAN,Lotus Renault,1:12.435
9,27,Michele AlboretoALB,Ferrari,1:13.122
10,15,Patrick TambayTAM,Renault,1:13.138
11,14,Manfred WinkelhockWIN,ATS BMW,1:13.374
12,18,Thierry BoutsenBOU,Arrows BMW,1:13.528
13,28,Rene ArnouxARN,Ferrari,1:13.934
14,2,Teo FabiFAB,Brabham BMW,1:14.040
15,17,Marc SurerSUR,Arrows BMW,1:14.336
16,5,Jacques LaffiteLAF,Williams Honda,1:14.568
17,22,Riccardo PatresePAT,Alfa Romeo,1:14.568
18,23,Eddie  CheeverCHE,Alfa Romeo,1:14.609
19,26,Andrea de CesarisDEC,Ligier Renault,1:15.112
20,25,Francois HesnaultHES,Ligier Renault,1:15.837
21,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:16.466
22,21,Huub RothengatterROT,Spirit Hart,1:16.759
23,10,Jonathan  PalmerPAL,RAM Hart,1:17.265
24,9,Philippe AlliotALL,RAM Hart,1:17.517
25,30,Jo GartnerGAR,Osella Alfa Romeo,1:18.121
