Pos,No,Driver,Car,Time
1,1,Nelson PiquetPIQ,Brabham BMW,1:26.584
2,7,Alain ProstPRO,McLaren TAG,1:26.671
3,11,Elio de AngelisDEA,Lotus Renault,1:27.538
4,8,Niki LaudaLAU,McLaren TAG,1:28.533
5,2,Teo FabiFAB,Brabham BMW,1:28.587
6,6,Keke RosbergROS,Williams Honda,1:28.818
7,12,Nigel MansellMAN,Lotus Renault,1:28.969
8,15,Patrick TambayTAM,Renault,1:29.253
9,22,Riccardo PatresePAT,Alfa Romeo,1:29.382
10,23,Eddie  CheeverCHE,Alfa Romeo,1:29.797
11,27,Michele AlboretoALB,Ferrari,1:29.810
12,16,Derek WarwickWAR,Renault,1:30.113
13,5,Jacques LaffiteLAF,Williams Honda,1:30.578
14,28,Rene ArnouxARN,Ferrari,1:30.695
15,17,Marc SurerSUR,Arrows BMW,1:31.108
16,26,Andrea de CesarisDEC,Ligier Renault,1:31.198
17,19,Stefan JohanssonJOH,Toleman Hart,1:31.203
18,25,Francois HesnaultHES,Ligier Renault,1:31.274
19,18,Thierry BoutsenBOU,Arrows BMW,1:31.342
20,31,Gerhard BergerBER,ATS BMW,1:31.549
21,14,Manfred WinkelhockWIN,ATS BMW,1:32.866
22,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:33.456
23,9,Philippe AlliotALL,RAM Hart,1:34.120
24,30,Jo GartnerGAR,Osella Alfa Romeo,1:34.472
25,21,Huub RothengatterROT,Spirit Hart,1:34.719
26,10,Jonathan  PalmerPAL,RAM Hart,1:35.412
27,20,Pierluigi MartiniMAR,Toleman Hart,1:35.840
